Treatment,Mom.Squirrel.ID,Offspring.Taglft,Offspring.Tagrt,Offspring.Weight.1,Offspring.Weight.2,Offspring.Growth.Rate,Raw.Litter.Size,Scaled.Litter.Size,Scaled.Offspring.Age
Rattle,42104211,F5498,F5500,10.89999962,49.70000076,1.55,3,-1.236054538,-0.520017275
Rattle,42104211,F5489,F5490,12.19999981,51.40000153,1.57,3,-1.236054538,-0.520017275
Rattle,42104211,,,12.19999981,49.79999924,1.5,3,-1.236054538,-0.520017275
Rattle,42614260,,,9.899999619,NA,NA,3,-1.236054538,-0.520017275
Rattle,42614260,,,9.899999619,NA,NA,3,-1.236054538,-0.520017275
Rattle,42614260,,,10.30000019,NA,NA,3,-1.236054538,-0.520017275
Rattle,42674268,,,12.69999981,52.09999847,1.71,3,-1.236054538,-0.250885528
Rattle,42674268,F6464,F6465,14.39999962,58.6,1.92,3,-1.236054538,-0.250885528
Rattle,42674268,F6462,F6463,13.60000038,55.70000076,1.83,3,-1.236054538,-0.250885528
Rattle,42734274,,,9.699999809,52.29999924,1.7,4,-0.16950115,-0.789149023
Rattle,42734274,F6701,F6702,9.899999619,51.70000076,1.67,4,-0.16950115,-0.789149023
Rattle,42734274,F6705,F6706,9.800000191,41.40000153,1.26,4,-0.16950115,-0.789149023
Rattle,42734274,F6703,F6704,10.39999962,52.09999847,1.67,4,-0.16950115,-0.789149023
Rattle,D0403F1810,,,10,NA,NA,3,-1.236054538,-0.520017275
Rattle,D0403F1810,,,11,NA,NA,3,-1.236054538,-0.520017275
Rattle,D0403F1810,,,9.100000381,NA,NA,3,-1.236054538,-0.520017275
Food,D6499D8600,F6537,F6538,9,43.59999847,1.28,4,-0.16950115,-0.520017275
Food,D6499D8600,F6539,F6540,10.80000019,73.59999847,2.33,4,-0.16950115,-0.520017275
Food,D6499D8600,F6541,F6542,10.5,73.90000153,2.35,4,-0.16950115,-0.520017275
Food,D6499D8600,F6535,F6536,10.10000038,75.90000153,2.44,4,-0.16950115,-0.520017275
