Treatment,Mom.Taglft,Mom.Tagrt,Litter.ID,Offspring.Taglft,Offspring.Tagrt,Offspring.Weight.1,Offspring.Weight.2,Offspring.Growth.Rate,Scaled.Litter.Size,Scaled.Offspring.Age
Control,F6168,F6169,F6168.F6169.1,H0482,H0483,18.2,45.1,1.415789474,0.023359994,-0.015370015
Control,F8184,F8192,F8184.F8192.1,H1649,H1650,10.7,49.4,1.433333333,0.023359994,-0.605578601
Control,F6438,F6439,F6438.F6439.1,,,15.1,0,NA,-3.340479204,-0.212106211
Control,F8190,F8437,F8190.F8437.1,,,15.1,0,NA,0.023359994,-0.015370015
Control,F3133,F3176,F3133.F3176.1,H1026,H1027,0,35.7,NA,0.023359994,1.951991937
Control,F6168,F6169,F6168.F6169.1,H0478,H0479,17.9,42.9,1.388888889,0.023359994,-0.015370015
Control,F7307,F7308,F7307.F7308.1,,,7.8,0,NA,0.023359994,-0.802314796
Control,F8890,F8891,F8890.F8891.1,,,7.7,0,NA,1.144639727,-0.802314796
Control,F3133,F3176,F3133.F3176.1,H1026,H1027,0,37.3,NA,0.023359994,1.951991937
Control,F3133,F3176,F3133.F3176.1,H1026,H1027,0,37.4,NA,0.023359994,1.951991937
Control,F3133,F3176,F3133.F3176.1,H1026,H1027,0,39.3,NA,0.023359994,1.951991937
Control,F6168,F6169,F6168.F6169.1,H0476,H0477,16.6,43.1,1.472222222,0.023359994,-0.015370015
Control,F6168,F6169,F6168.F6169.1,H0480,H0481,17,45.5,1.5,0.023359994,-0.015370015
Control,F7307,F7308,F7307.F7308.1,,,8.7,0,NA,0.023359994,-0.802314796
Control,F7307,F7308,F7307.F7308.1,,,8.3,0,NA,0.023359994,-0.802314796
Control,F7307,F7308,F7307.F7308.1,,,8.9,0,NA,0.023359994,-0.802314796
Control,F8184,F8192,F8184.F8192.1,H1645,H1646,11.8,51.4,1.466666667,0.023359994,-0.605578601
Control,F8184,F8192,F8184.F8192.1,H1647,H1648,10.5,51,1.5,0.023359994,-0.605578601
Control,F8184,F8192,F8184.F8192.1,H1643,H1644,12.7,54.7,1.555555556,0.023359994,-0.605578601
Control,F8190,F8437,F8190.F8437.1,,,17,0,NA,0.023359994,-0.015370015
Control,F8190,F8437,F8190.F8437.1,,,17.1,0,NA,0.023359994,-0.015370015
Control,F8190,F8437,F8190.F8437.1,,,17.7,0,NA,0.023359994,-0.015370015
Control,F8890,F8891,F8890.F8891.1,,,7.9,0,NA,1.144639727,-0.802314796
Control,F8890,F8891,F8890.F8891.1,,,8.1,0,NA,1.144639727,-0.802314796
Control,F8890,F8891,F8890.F8891.1,,,8.2,0,NA,1.144639727,-0.802314796
Control,F8890,F8891,F8890.F8891.1,,,8.6,0,NA,1.144639727,-0.802314796
Fed GCs,F8110,F8111,F8110.F8111.1,H0484,H0485,9.9,72.8,2.516,0.023359994,-0.408842406
Fed GCs,F8117,F8193,F8117.F8193.1,,,15.6,0,NA,-1.097919738,-0.015370015
Fed GCs,F0759,F0760,F0759.F0760.1,,,12.4,0,NA,1.144639727,-0.408842406
Fed GCs,F4539,F4540,F4539.F4540.1,,,13.9,0,NA,-1.097919738,-0.408842406
Fed GCs,F1868,F0258,F1868.F0258.1,,,6.5,0,NA,0.023359994,-0.802314796
Fed GCs,F8721,F8723,F8721.F8723.1,,,13.4,0,NA,-1.097919738,-0.408842406
Fed GCs,F0759,F0760,F0759.F0760.1,,,13.8,0,NA,1.144639727,-0.408842406
Fed GCs,F0759,F0760,F0759.F0760.1,,,14.7,0,NA,1.144639727,-0.408842406
Fed GCs,F0759,F0760,F0759.F0760.1,,,13.4,0,NA,1.144639727,-0.408842406
Fed GCs,F0759,F0760,F0759.F0760.1,,,14.1,0,NA,1.144639727,-0.408842406
Fed GCs,F1868,F0258,F1868.F0258.1,,,5.5,0,NA,0.023359994,-0.802314796
Fed GCs,F1868,F0258,F1868.F0258.1,,,6.5,0,NA,0.023359994,-0.802314796
Fed GCs,F1868,F0258,F1868.F0258.1,,,7.2,0,NA,0.023359994,-0.802314796
Fed GCs,F4539,F4540,F4539.F4540.1,,,14.9,0,NA,-1.097919738,-0.408842406
Fed GCs,F4539,F4540,F4539.F4540.1,,,14.4,0,NA,-1.097919738,-0.408842406
Fed GCs,F8110,F8111,F8110.F8111.1,,,8.6,0,NA,0.023359994,-0.408842406
Fed GCs,F8110,F8111,F8110.F8111.1,,,10.4,0,NA,0.023359994,-0.408842406
Fed GCs,F8110,F8111,F8110.F8111.1,,,8.8,0,NA,0.023359994,-0.408842406
Fed GCs,F8117,F8193,F8117.F8193.1,,,17.2,0,NA,-1.097919738,-0.015370015
Fed GCs,F8117,F8193,F8117.F8193.1,,,17.1,0,NA,-1.097919738,-0.015370015
Fed GCs,F8721,F8723,F8721.F8723.1,,,13.7,0,NA,-1.097919738,-0.408842406
Fed GCs,F8721,F8723,F8721.F8723.1,,,14.6,0,NA,-1.097919738,-0.408842406
Fed GCs,F8455,F8456,F8455.F8456.1,F3691,F3692,27.4,66.2,1.847619048,1.144639727,0.968310961
Fed GCs,F6506,F6518,F6506.F6518.1,H1453,H1454,11.9,55.8,1.908695652,0.023359994,-0.408842406
Fed GCs,F1585,F1586,F1585.F1586.1,,,10.9,0,NA,1.144639727,-0.408842406
Fed GCs,F1553,F1554,F1553.F1554.1,,,16.3,0,NA,-2.219199471,-0.015370015
Fed GCs,F8455,F8456,F8455.F8456.1,F3729,F3694,27.3,64.5,1.771428571,1.144639727,0.968310961
Fed GCs,F1553,F1554,F1553.F1554.1,,,16.9,0,NA,-2.219199471,-0.015370015
Fed GCs,F1585,F1586,F1585.F1586.1,,,12.3,0,NA,1.144639727,-0.408842406
Fed GCs,F1585,F1586,F1585.F1586.1,,,13.1,0,NA,1.144639727,-0.408842406
Fed GCs,F1585,F1586,F1585.F1586.1,,,11.8,0,NA,1.144639727,-0.408842406
Fed GCs,F1585,F1586,F1585.F1586.1,,,12.7,0,NA,1.144639727,-0.408842406
Fed GCs,F6506,F6518,F6506.F6518.1,H1455,H1456,12.5,60.9,2.104347826,0.023359994,-0.408842406
Fed GCs,F6506,F6518,F6506.F6518.1,H1457,H1458,13.7,62.4,2.117391304,0.023359994,-0.408842406
Fed GCs,F6506,F6518,F6506.F6518.1,H1451,H1452,12.9,62.8,2.169565217,0.023359994,-0.408842406
Fed GCs,F8455,F8456,F8455.F8456.1,F3699,F3700,26.5,66.6,1.90952381,1.144639727,0.968310961
Fed GCs,F8455,F8456,F8455.F8456.1,F3697,F3698,28,68.3,1.919047619,1.144639727,0.968310961
Fed GCs,F8455,F8456,F8455.F8456.1,F3695,F3696,29.3,72.4,2.052380952,1.144639727,0.968310961
Fed GCs,F7320,F8150,F7320.F8150.1,F7172,F7175,10.7,67.8,2.114814815,1.144639727,-0.605578601
Fed GCs,F8232,F8233,F8232.F8233.1,H0486,H0487,11.3,74.5,2.528,0.023359994,-0.605578601
Fed GCs,F8880,F8881,F8880.F8881.1,,,11.3,0,NA,-1.097919738,-0.605578601
Fed GCs,H0908,F6800,H0908.F6800.1,,,13.8,0,NA,-1.097919738,-0.212106211
Fed GCs,F7320,F8150,F7320.F8150.1,H1237,H1238,11.7,72.2,2.240740741,1.144639727,-0.605578601
Fed GCs,F7320,F8150,F7320.F8150.1,H1235,H1236,11.2,73.5,2.307407407,1.144639727,-0.605578601
Fed GCs,F7320,F8150,F7320.F8150.1,,,11.9,0,NA,1.144639727,-0.605578601
Fed GCs,F7320,F8150,F7320.F8150.1,,,12.1,0,NA,1.144639727,-0.605578601
Fed GCs,F8232,F8233,F8232.F8233.1,H0488,H0490,11.2,77,2.632,0.023359994,-0.605578601
Fed GCs,F8232,F8233,F8232.F8233.1,,,10.8,0,NA,0.023359994,-0.605578601
Fed GCs,F8232,F8233,F8232.F8233.1,,,11.4,0,NA,0.023359994,-0.605578601
Fed GCs,F8880,F8881,F8880.F8881.1,,,11.5,0,NA,-1.097919738,-0.605578601
Fed GCs,F8880,F8881,F8880.F8881.1,,,11.5,0,NA,-1.097919738,-0.605578601
Fed GCs,H0908,F6800,H0908.F6800.1,,,14.4,0,NA,-1.097919738,-0.212106211
Fed GCs,H0908,F6800,H0908.F6800.1,,,15.4,0,NA,-1.097919738,-0.212106211
Control,F3666,F3667,F3666.F3667.1,F7518,F7519,10.7,51.1,1.683333333,0.023359994,-0.605578601
Control,H0910,H0911,H0910.H0911.1,,,23.5,0,NA,0.023359994,0.771574766
Control,F7318,F7319,F7318.F7319.1,,,20.6,0,NA,1.144639727,0.378102375
Control,F6434,F6435,F6434.F6435.1,H1285,H1286,0,0,NA,0.023359994,3.525881499
Control,H0338,F5807,H0338.F5807.1,,,8.3,0,NA,0.023359994,-0.802314796
Control,F3389,F3390,F3389.F3390.1,,,8,0,NA,1.144639727,-0.802314796
Control,F8496,F8497,F8496.F8497.1,,,11.5,0,NA,-1.097919738,-0.408842406
Control,F8717,F8718,F8717.F8718.1,,,15.5,0,NA,-1.097919738,-0.015370015
Control,H0944,F8464,H0944.F8464.1,H1036,H1037,0,39.6,NA,-1.097919738,2.345464328
Control,F3666,F3667,F3666.F3667.1,F7516,F7517,10.8,47.5,1.529166667,0.023359994,-0.605578601
Control,F8498,F8499,F8498.F8499.1,,,31.7,0,NA,0.023359994,1.558519547
Control,D8419,D8420,D8419.D8420.1,,,9.4,0,NA,1.144639727,-0.605578601
Control,D8419,D8420,D8419.D8420.1,,,10,0,NA,1.144639727,-0.605578601
Control,D8419,D8420,D8419.D8420.1,,,10.4,0,NA,1.144639727,-0.605578601
Control,D8419,D8420,D8419.D8420.1,,,9.6,0,NA,1.144639727,-0.605578601
Control,D8419,D8420,D8419.D8420.1,,,9.9,0,NA,1.144639727,-0.605578601
Control,F3389,F3390,F3389.F3390.1,,,8.5,0,NA,1.144639727,-0.802314796
Control,F3389,F3390,F3389.F3390.1,,,8.4,0,NA,1.144639727,-0.802314796
Control,F3389,F3390,F3389.F3390.1,,,9,0,NA,1.144639727,-0.802314796
Control,F3389,F3390,F3389.F3390.1,,,9.2,0,NA,1.144639727,-0.802314796
Control,F3666,F3667,F3666.F3667.1,F7514,F7515,10.8,48.8,1.583333333,0.023359994,-0.605578601
Control,F3666,F3667,F3666.F3667.1,H1824,H1825,11.2,52.3,1.7125,0.023359994,-0.605578601
Control,F6434,F6435,F6434.F6435.1,H1287,H1288,0,0,NA,0.023359994,3.525881499
Control,F6434,F6435,F6434.F6435.1,H1285,H1286,0,0,NA,0.023359994,3.525881499
Control,F6434,F6435,F6434.F6435.1,H1289,H1290,0,0,NA,0.023359994,3.525881499
Control,F7318,F7319,F7318.F7319.1,,,21.3,0,NA,1.144639727,0.378102375
Control,F7318,F7319,F7318.F7319.1,,,21.5,0,NA,1.144639727,0.378102375
Control,F7318,F7319,F7318.F7319.1,,,21.3,0,NA,1.144639727,0.378102375
Control,F7318,F7319,F7318.F7319.1,,,22.3,0,NA,1.144639727,0.378102375
Control,F8496,F8497,F8496.F8497.1,,,12.1,0,NA,-1.097919738,-0.408842406
Control,F8496,F8497,F8496.F8497.1,,,12.7,0,NA,-1.097919738,-0.408842406
Control,F8498,F8499,F8498.F8499.1,,,33.3,0,NA,0.023359994,1.558519547
Control,F8498,F8499,F8498.F8499.1,,,33.4,0,NA,0.023359994,1.558519547
Control,F8498,F8499,F8498.F8499.1,,,34.6,0,NA,0.023359994,1.558519547
Control,F8717,F8718,F8717.F8718.1,,,16.1,0,NA,-1.097919738,-0.015370015
Control,F8717,F8718,F8717.F8718.1,,,16.5,0,NA,-1.097919738,-0.015370015
Control,H0338,F5807,H0338.F5807.1,,,9,0,NA,0.023359994,-0.802314796
Control,H0338,F5807,H0338.F5807.1,,,9,0,NA,0.023359994,-0.802314796
Control,H0338,F5807,H0338.F5807.1,,,9.2,0,NA,0.023359994,-0.802314796
Control,H0910,H0911,H0910.H0911.1,,,24.6,0,NA,0.023359994,0.771574766
Control,H0910,H0911,H0910.H0911.1,,,25.8,0,NA,0.023359994,0.771574766
Control,H0910,H0911,H0910.H0911.1,,,25.9,0,NA,0.023359994,0.771574766
Control,H0944,F8464,H0944.F8464.1,H1040,H1041,0,41.3,NA,-1.097919738,2.345464328
Control,H0944,F8464,H0944.F8464.1,H1038,H1039,0,44.4,NA,-1.097919738,2.345464328
Control,H1328,H1329,H1328.H1329.1,,,16.2,0,NA,1.144639727,-0.015370015
Control,H1328,H1329,H1328.H1329.1,,,16.5,0,NA,1.144639727,-0.015370015
Control,H1328,H1329,H1328.H1329.1,,,17.2,0,NA,1.144639727,-0.015370015
Control,H1328,H1329,H1328.H1329.1,,,17.4,0,NA,1.144639727,-0.015370015
Control,H1328,H1329,H1328.H1329.1,,,21,0,NA,1.144639727,-0.015370015
