Treatment,Mom.Taglft,Mom.Tagrt,Litter.ID,Raw.Litter.Size,No.Male.Offspring,No.Female.Offspring,scaled.litter.size
Control,D8419,D8420,D8419.D8420.1,5,4,1,1.214293953
Control,F3389,F3390,F3389.F3390.1,5,3,2,1.214293953
Control,F3666,F3667,F3666.F3667.1,4,3,1,0.303573488
Control,F6168,F6169,F6168.F6169.1,2,2,2,-1.517867441
Control,F6438,F6439,F6438.F6439.1,1,0,1,-2.428587906
Control,F7307,F7308,F7307.F7308.1,4,2,2,0.303573488
Control,F7318,F7319,F7318.F7319.1,5,2,3,1.214293953
Control,F8184,F8192,F8184.F8192.1,4,4,0,0.303573488
Control,F8190,F8437,F8190.F8437.1,4,0,4,0.303573488
Control,F8496,F8497,F8496.F8497.1,3,2,1,-0.607146976
Control,F8498,F8499,F8498.F8499.1,4,3,1,0.303573488
Control,F8717,F8718,F8717.F8718.1,3,2,1,-0.607146976
Control,F8890,F8891,F8890.F8891.1,5,4,1,1.214293953
Control,H0338,F5807,H0338.F5807.1,4,2,2,0.303573488
Control,H0910,H0911,H0910.H0911.1,4,0,4,0.303573488
Control,H1328,H1329,H1328.H1329.1,5,5,0,1.214293953
Fed GCs,F0759,F0760,F0759.F0760.1,5,2,3,1.214293953
Fed GCs,F1553,F1554,F1553.F1554.1,2,1,1,-1.517867441
Fed GCs,F1585,F1586,F1585.F1586.1,5,2,3,1.214293953
Fed GCs,F1868,F0258,F1868.F0258.1,4,3,1,0.303573488
Fed GCs,F4539,F4540,F4539.F4540.1,3,1,2,-0.607146976
Fed GCs,F6506,F6518,F6506.F6518.1,4,4,0,0.303573488
Fed GCs,F7320,F8150,F7320.F8150.1,5,1,4,1.214293953
Fed GCs,F8110,F8111,F8110.F8111.1,4,3,1,0.303573488
Fed GCs,F8117,F8193,F8117.F8193.1,3,1,2,-0.607146976
Fed GCs,F8232,F8233,F8232.F8233.1,4,0,4,0.303573488
Fed GCs,F8455,F8456,F8455.F8456.1,5,3,2,1.214293953
Fed GCs,F8721,F8723,F8721.F8723.1,3,3,0,-0.607146976
Fed GCs,F8880,F8881,F8880.F8881.1,3,0,3,-0.607146976
Fed GCs,H0908,F6800,H0908.F6800.1,3,1,2,-0.607146976
