Treatment,Days.Post.Conception,Squirrel.Taglft,Squirrel.Tagrt,Raw.FCM.ng.g.dry
Chickadee,3,F5691,F5690,392.4142904
Chickadee,30,F5691,F5690,2120.335789
Chickadee,3,D9648,D9649,648.7167701
Chickadee,8,D9648,D9649,940.9822675
Chickadee,-7,D9987,D9988,671.3789376
Chickadee,-7,F4401,F4409,1010.38947
Chickadee,2,D9987,D9988,416.9306141
Chickadee,2,F4401,F4409,1016.235683
Chickadee,7,D9987,D9988,531.1088395
Chickadee,7,F4401,F4409,493.1730181
Chickadee,15,D9987,D9988,592.241414
Chickadee,15,F4401,F4409,367.784018
Chickadee,18,F4401,F4409,650.1785714
Chickadee,10,F0308,F0309,767.0634921
Chickadee,13,F0308,F0309,466.1848705
Chickadee,-2,F5685,0,2149.119098
Chickadee,-5,F4361,F2198,722.9475512
Chickadee,5,F4361,F2198,1069.037952
Chickadee,10,F4361,F2198,1905.569815
Chickadee,13,F4361,F2198,563.8343115
Chickadee,-4,F3012,F1182,924.0148991
Chickadee,18,F3012,F1182,5769.123388
Chickadee,-10,F5681,F5682,342.0392464
Chickadee,-4,F0565,F4756,2433.334088
Chickadee,12,F0565,F4756,2930.297327
Chickadee,20,F0565,F4756,1698.872814
Chickadee,-10,F2815,F2816,348.4292126
Chickadee,20,F2815,F2816,566.0103224
Chickadee,-18,F5886,F4083,249.9809332
Chickadee,-8,F5886,F4083,752.1832037
Chickadee,-1,F5886,F4083,1193.232539
Chickadee,6,F5886,F4083,1585.287109
Chickadee,16,F3984,F3985,619.4805195
Chickadee,1,F5166,F5167,1107.39757
Chickadee,5,F5166,F5167,802.5649595
Chickadee,15,F5336,F5337,652.5359911
Chickadee,20,F5336,F5337,4059.334424
Chickadee,18,F5212,F5213,1074.005877
Chickadee,25,F5212,F5213,1411.423382
Chickadee,2,F5771,F5772,1221.993501
Chickadee,13,F5771,F5772,880.149321
Chickadee,17,F5771,F5772,1308.29636
Rattle,7,4261,4260,424.0700444
Rattle,16,4261,4260,867.9830261
Rattle,8,F0687,F0688,1690.999765
Rattle,15,F0687,F0688,906.1884383
Rattle,-10,4267,4268,486.6877537
Rattle,-4,4267,4268,712.2180523
Rattle,7,D8880,D8881,2167.756067
Rattle,11,D8880,D8881,390.1198565
Rattle,16,D8880,D8881,761.104558
Rattle,18,D8880,D8881,676.495474
Rattle,2,F1135,F1136,364.1412178
Rattle,-4,F3081,F3082,622.141036
Rattle,-1,F3081,F3082,8785.078027
Rattle,8,F5952,F5953,173.3350665
Rattle,30,F6028,F6029,471.1274371
Rattle,8,F3125,F3123,460.6929167
Rattle,9,F3125,F3123,517.6912391
Rattle,16,F3125,F3123,951.6398677
Rattle,8,F5729,F5730,402.2107417
Rattle,15,F5729,F5730,281.9906038
Rattle,-2,F3005,F3006,1461.530638
Rattle,5,F3005,F3006,648.0147251
Rattle,-28,F4609,F4608,509.3654466
Rattle,-7,F5590,F5591,654.4028414
Rattle,2,F5590,F5591,644.3313891
Rattle,7,F5590,F5591,126.379604
Rattle,3,D9118,D9119,565.7605552
Rattle,-23,F5660,F5661,188.6028829
Rattle,-15,F5660,F5661,530.8550582
Rattle,-9,F5660,F5661,1089.511195
Rattle,11,F1669,F5592,125.0939298
Rattle,17,F1669,F5592,693.333504
Rattle,-5,4210,4211,1163.697767
Rattle,4,4210,4211,586.7606287
Rattle,6,4210,4211,1155.607777
Rattle,-2,F3007,F3008,502.3092272
Rattle,5,F3007,F3008,266.5437589
Rattle,0,F5746,F5747,1125.759544
Rattle,12,F3007,F3008,238.2549122
Rattle,15,F3007,F3008,269.1401898
Rattle,23,F3007,F3008,594.1500636
Rattle,1,F5580,F5581,9245.436186
Rattle,6,F5580,F5581,1778.553096
Rattle,-26,F4098,F4099,730.5688856
Rattle,-19,F4098,F4099,684.3484831
Rattle,-10,F4098,F4099,204.9969538
Rattle,-4,F1557,F1558,2070.720615
Rattle,4,F1557,F1558,791.200023
Rattle,-42,D9539,D9540,310.3489792
Rattle,-35,D9539,D9540,500.8348677
Rattle,-28,D9539,D9540,776.0463316
Rattle,-21,D9539,D9540,1031.022566
Rattle,-23,F3052,F3053,396.3010858
Rattle,25,F6032,F6033,2482.506553
Rattle,-23,F5727,F5728,142.4304232
Rattle,12,F3081,F3082,1449.051584
