Treatment.Pooled,Squirrel.Taglft,Squirrel.Tagrt,Raw.FCM.ng.g.dry
Control,F6438,F6439,1216.783654
Control,J2557,F0608,1405.291714
Control,F6360,F6361,2401.529533
Control,F6380,F6381,3274.872253
Control,F8888,F8889,7933.29338
Control,F7312,F6198,4874.114935
Control,J2557,F0608,2414.012085
Control,F6380,F6381,3566.571429
Control,F8888,F8889,3672.31445
Fed GCs,F8721,F8723,4122.261701
Fed GCs,F7312,F6198,16398.26423
Fed GCs,F8228,F8229,5534.580882
Fed GCs,F6442,F6447,10498.11104
Fed GCs,F1585,F1586,6644.931217
Fed GCs,F6311,F6312,2142.10489
Fed GCs,F1585,F1586,6735.274235
Fed GCs,F8455,F8456,1864.401498
Fed GCs,F1553,F1554,733.6345839
Fed GCs,F1553,F1554,1497.430763
Fed GCs,F7320,F8150,12707.21429
Fed GCs,H0908,F6800,2918.415266
Fed GCs,F8450,F6289,3358.150733
Fed GCs,F8450,F6289,4640.438044
Fed GCs,F8876,F8877,3671.200892
Fed GCs,F7320,F8150,2419.675318
Fed GCs,F7320,F8150,4892.196464
Fed GCs,F6676,H0564,5077.545567
Fed GCs,F8724,H0800,5905.816244
Control,F0755,F0756,5364.990208
Control,F6944,F6945,502.216852
