photo_id,Aquarium_ID,Food_Ratio,Pike_presence,Weight,Length
pred_growth_final_001,1,05_low,y,5.5,93
pred_growth_final_002,1,05_low,y,4.2,85
pred_growth_final_003,1,05_low,y,5.4,97
pred_growth_final_004,2,10_medium,y,4.9,85
pred_growth_final_005,2,10_medium,y,7.1,98
pred_growth_final_006,3,10_medium,y,7.7,99
pred_growth_final_007,3,10_medium,y,7.2,99
pred_growth_final_008,3,10_medium,y,7,96
pred_growth_final_009,4,10_medium,n,4.6,74
pred_growth_final_010,4,10_medium,n,5,73
pred_growth_final_014,7,10_medium,n,6.5,91
pred_growth_final_015,7,10_medium,n,6.1,89
pred_growth_final_016,7,10_medium,n,4.8,86
pred_growth_final_017,8,10_medium,y,4.9,86
pred_growth_final_018,8,10_medium,y,4.4,83
pred_growth_final_019,9,05_low,y,5,90
pred_growth_final_020,9,05_low,y,6.7,96
pred_growth_final_021,9,05_low,y,4.5,86
pred_growth_final_024,11,15_high,y,8.4,103
pred_growth_final_025,11,15_high,y,6.1,88
pred_growth_final_030,14,05_low,n,5.1,92
pred_growth_final_031,15,10_medium,n,5.4,88
pred_growth_final_032,15,10_medium,n,7.4,98
pred_growth_final_033,15,10_medium,n,6.2,91
pred_growth_final_034,16,15_high,y,4.1,82
pred_growth_final_035,16,15_high,y,7.8,100
pred_growth_final_036,16,15_high,y,6.7,95
pred_growth_final_037,17,05_low,y,2.8,72
pred_growth_final_038,17,05_low,y,3.8,87
pred_growth_final_039,18,05_low,n,5.2,96
pred_growth_final_040,18,05_low,n,4,83
pred_growth_final_043,20,10_medium,y,5.5,88
pred_growth_final_044,20,10_medium,y,3.6,79
pred_growth_final_047,22,05_low,y,6.2,92
pred_growth_final_048,22,05_low,y,6.1,94
pred_growth_final_049,23,05_low,y,4.8,88
pred_growth_final_050,24,05_low,n,4.3,83
pred_growth_final_051,25,15_high,y,6.5,90
pred_growth_final_052,25,15_high,y,6.5,91
pred_growth_final_053,26,15_high,n,6.7,91
pred_growth_final_054,26,15_high,n,8.7,97
pred_growth_final_055,27,05_low,n,4.7,89
pred_growth_final_056,27,05_low,n,3.6,85
pred_growth_final_057,28,15_high,n,7.6,94
pred_growth_final_058,28,15_high,n,5.4,86
pred_growth_final_059,29,05_low,n,5.3,92
pred_growth_final_060,29,05_low,n,4.9,88
pred_growth_final_061,29,05_low,n,4.1,86
pred_growth_final_062,30,15_high,y,12,110
pred_growth_final_063,30,15_high,y,6.9,95
pred_growth_final_064,30,15_high,y,6.3,91
pred_growth_final_065,31,05_low,y,3,76
pred_growth_final_066,32,15_high,y,7.9,99
pred_growth_final_067,32,15_high,y,5.9,87
pred_growth_final_068,33,10_medium,y,7.6,99
pred_growth_final_069,33,10_medium,y,7.7,101
pred_growth_final_070,33,10_medium,y,3.5,74
pred_growth_final_071,34,15_high,y,6.4,90
pred_growth_final_072,34,15_high,y,9.5,101
pred_growth_final_073,35,10_medium,n,5,86
pred_growth_final_074,35,10_medium,n,4.2,82
pred_growth_final_075,35,10_medium,n,6.4,91
pred_growth_final_076,36,10_medium,y,6.6,98
pred_growth_final_079,39,15_high,n,8.1,96
pred_growth_final_080,39,15_high,n,8.1,96
pred_growth_final_081,39,15_high,n,4.3,80
pred_growth_final_082,40,15_high,n,10.1,105
pred_growth_final_083,40,15_high,n,7.8,98
pred_growth_final_084,40,15_high,n,7.5,96
pred_growth_final_085,41,15_high,n,7.5,93
pred_growth_final_086,41,15_high,n,7.5,97
pred_growth_final_087,41,15_high,n,7.3,96
pred_growth_final_090,43,15_high,n,8.3,95
pred_growth_final_091,43,15_high,n,6,88
pred_growth_final_093,46,10_medium,n,7.9,97
pred_growth_final_094,46,10_medium,n,7.7,97
pred_growth_final_095,46,10_medium,n,5.4,86
pred_growth_final_096,47,10_medium,n,5.5,87
pred_growth_final_097,47,10_medium,n,5.7,86
pred_growth_final_098,48,05_low,n,4.7,89
pred_growth_final_099,48,05_low,n,4.5,89
pred_growth_final_100,48,05_low,n,4,84
