no.;ctmax;dev.temp;dev.treat;observer
1;39.87;19;constant;jesper
2;39.93;19;constant;paul
3;39.37;19;constant;paul
4;40.31;19;constant;jesper
5;40.18;19;constant;jesper
6;39.94;19;constant;jesper
7;39.67;19;constant;paul
8;40.27;19;constant;jesper
9;40.38;19;constant;paul
11;40.11;19;constant;jesper
12;39.73;19;constant;paul
13;40.04;19;constant;paul
14;40.2;19;constant;jesper
15;40.05;19;constant;paul
17;40.39;19;fluctuating;paul
18;40.2;19;fluctuating;paul
19;39.61;19;fluctuating;paul
20;40.29;19;fluctuating;jesper
21;40.44;19;fluctuating;jesper
22;40.24;19;fluctuating;jesper
23;39.51;19;fluctuating;paul
24;40.06;19;fluctuating;paul
25;39.73;19;fluctuating;paul
26;39.99;19;fluctuating;paul
27;40.1;19;fluctuating;jesper
28;40.36;19;fluctuating;jesper
29;39.84;19;fluctuating;jesper
30;40.14;19;fluctuating;jesper
31;40.51;23;constant;jesper
33;40.02;23;constant;paul
34;40.19;23;constant;jesper
35;40.38;23;constant;jesper
36;40.42;23;constant;paul
37;39.82;23;constant;paul
38;40.14;23;constant;paul
39;40.41;23;constant;paul
40;40.24;23;constant;jesper
41;40.01;23;constant;jesper
42;39.75;23;constant;paul
43;40.7;23;constant;jesper
44;40.66;23;constant;jesper
45;40.61;23;constant;jesper
46;40.4;23;constant;paul
47;40.33;23;constant;jesper
48;40.29;23;constant;paul
49;40.34;23;constant;paul
50;40.26;23;constant;paul
51;40.38;23;fluctuating;paul
52;39.9;23;fluctuating;paul
53;40.43;23;fluctuating;jesper
54;40.2;23;fluctuating;paul
55;40.54;23;fluctuating;jesper
56;40.35;23;fluctuating;paul
57;40.48;23;fluctuating;jesper
58;40.3;23;fluctuating;jesper
59;39.96;23;fluctuating;jesper
60;40.32;23;fluctuating;paul
61;40.28;23;fluctuating;paul
62;40.29;23;fluctuating;paul
63;38.9;23;fluctuating;paul
64;40.08;23;fluctuating;jesper
65;40.56;23;fluctuating;jesper
66;39.88;23;fluctuating;paul
67;40.39;23;fluctuating;paul
68;40.41;23;fluctuating;jesper
69;40.38;23;fluctuating;jesper
70;40.46;23;fluctuating;jesper
