no.;ctmax;dev.temp;ad.temp;dev.treat;ad.treat;observer
81;40.35;23;23;const;const;paul
82;40.39;23;23;const;const;jesper
83;40.41;23;23;const;const;paul
84;40.21;23;23;const;const;jesper
85;40.3;23;23;const;const;paul
86;40.28;23;23;const;const;jesper
87;39.89;23;23;const;const;paul
88;40;23;23;const;const;paul
89;39.88;23;23;const;const;jesper
90;40.54;23;23;const;const;jesper
91;40.24;23;23;fluct;const;paul
92;40.21;23;23;fluct;const;paul
93;40.18;23;23;fluct;const;paul
94;39.94;23;23;fluct;const;jesper
95;40.21;23;23;fluct;const;jesper
96;40.25;23;23;fluct;const;jesper
97;40;23;23;fluct;const;jesper
98;40.1;23;23;fluct;const;paul
99;40.2;23;23;fluct;const;paul
100;40.12;23;23;fluct;const;jesper
101;40.14;23;23;fluct;fluct;jesper
102;40.21;23;23;fluct;fluct;paul
103;40.37;23;23;fluct;fluct;jesper
104;40.33;23;23;fluct;fluct;paul
105;40.18;23;23;fluct;fluct;paul
106;39.8;23;23;fluct;fluct;paul
107;40.4;23;23;fluct;fluct;jesper
108;40.23;23;23;fluct;fluct;jesper
109;40.48;23;23;fluct;fluct;jesper
110;40.43;23;23;fluct;fluct;paul
111;39.18;23;23;const;fluct;jesper
112;39.83;23;23;const;fluct;jesper
113;39.73;23;23;const;fluct;jesper
114;40.37;23;23;const;fluct;paul
115;40;23;23;const;fluct;paul
116;39.85;23;23;const;fluct;jesper
117;39.05;23;23;const;fluct;paul
118;40.03;23;23;const;fluct;paul
119;39.97;23;23;const;fluct;jesper
120;40.27;23;23;const;fluct;paul
121;39.94;19;19;const;const;paul
122;40.4;19;19;const;const;paul
123;39.75;19;19;const;const;jesper
124;39.7;19;19;const;const;jesper
125;40.26;19;19;const;const;jesper
126;40.08;19;19;const;const;jesper
127;39.7;19;19;const;const;paul
128;40.07;19;19;const;const;paul
129;40.02;19;19;const;const;paul
130;39.99;19;19;const;const;jesper
131;40.23;19;19;fluct;const;paul
132;40.35;19;19;fluct;const;jesper
133;39.79;19;19;fluct;const;paul
135;40.29;19;19;fluct;const;paul
137;39;19;19;fluct;const;jesper
138;39.64;19;19;fluct;const;paul
139;39.9;19;19;fluct;const;jesper
140;40.17;19;19;fluct;const;jesper
141;40.03;19;19;fluct;fluct;jesper
142;39.92;19;19;fluct;fluct;jesper
143;40.06;19;19;fluct;fluct;jesper
144;40.32;19;19;fluct;fluct;paul
145;39.62;19;19;fluct;fluct;paul
146;39.92;19;19;fluct;fluct;paul
147;39.52;19;19;fluct;fluct;jesper
148;39.6;19;19;fluct;fluct;jesper
149;40.25;19;19;fluct;fluct;paul
150;39.78;19;19;fluct;fluct;paul
151;39.72;19;19;const;fluct;paul
152;39;19;19;const;fluct;jesper
153;39.2;19;19;const;fluct;jesper
154;39.97;19;19;const;fluct;paul
155;40.43;19;19;const;fluct;paul
156;40.46;19;19;const;fluct;paul
157;40.32;19;19;const;fluct;jesper
158;39.85;19;19;const;fluct;paul
159;40.01;19;19;const;fluct;jesper
160;40.3;19;19;const;fluct;jesper
