no.;ctmax;dev.temp;ad.temp;dev.treat;ad.treat;observer
1;39.21;23;23;fluct;const;paul
2;40.67;23;23;fluct;const;paul
3;40.34;23;23;fluct;const;paul
4;39.71;23;23;fluct;const;paul
5;40.23;23;23;fluct;const;paul
6;38;23;23;fluct;const;paul
7;40.05;23;23;fluct;const;paul
8;39.69;23;23;fluct;const;paul
9;40.48;23;23;fluct;const;paul
10;40.41;23;23;fluct;const;paul
11;39.78;23;23;const;const;paul
12;38.87;23;23;const;const;paul
13;40.76;23;23;const;const;paul
14;40.36;23;23;const;const;paul
15;40.77;23;23;const;const;paul
16;40.69;23;23;const;const;paul
17;40.6;23;23;const;const;paul
18;40.72;23;23;const;const;paul
19;40;23;23;const;const;paul
20;40.44;23;23;const;const;paul
21;40.33;23;23;const;fluct;paul
22;40.77;23;23;const;fluct;paul
23;40.63;23;23;const;fluct;paul
24;40.46;23;23;const;fluct;paul
25;40.01;23;23;const;fluct;paul
26;40.56;23;23;const;fluct;paul
27;40.65;23;23;const;fluct;paul
28;40.75;23;23;const;fluct;paul
29;40.51;23;23;const;fluct;paul
30;40.25;23;23;const;fluct;paul
31;40.74;23;23;fluct;fluct;paul
32;40.61;23;23;fluct;fluct;paul
33;40.76;23;23;fluct;fluct;paul
34;40.7;23;23;fluct;fluct;paul
35;38.02;23;23;fluct;fluct;paul
36;40.55;23;23;fluct;fluct;paul
37;40.62;23;23;fluct;fluct;paul
38;39.47;23;23;fluct;fluct;paul
39;40.68;23;23;fluct;fluct;paul
40;40.55;23;23;fluct;fluct;paul
