no.,ctmin,dev.temp,ad.temp,dev.treat,ad.treat,observer
41,4.38,19,19,const,const,paul
42,4.46,19,19,const,const,paul
43,3.75,19,19,const,const,jesper
44,4.48,19,19,const,const,jesper
45,4.21,19,19,const,const,jesper
46,4.32,19,19,const,const,paul
47,3.99,19,19,const,const,paul
48,4.1,19,19,const,const,paul
50,4.37,19,19,const,const,jesper
51,3.62,19,19,const,fluct,jesper
52,3.78,19,19,const,fluct,jesper
53,3.84,19,19,const,fluct,paul
54,4.17,19,19,const,fluct,jesper
55,4.05,19,19,const,fluct,paul
56,4.04,19,19,const,fluct,jesper
57,3.81,19,19,const,fluct,jesper
58,4.19,19,19,const,fluct,paul
59,3.62,19,19,const,fluct,paul
60,4.55,19,19,const,fluct,paul
61,3.84,19,19,fluct,fluct,jesper
62,3.76,19,19,fluct,fluct,paul
63,3.99,19,19,fluct,fluct,jesper
64,3.54,19,19,fluct,fluct,jesper
65,3.78,19,19,fluct,fluct,paul
66,3.74,19,19,fluct,fluct,paul
68,4.34,19,19,fluct,fluct,paul
69,4.89,19,19,fluct,fluct,jesper
70,4.84,19,19,fluct,fluct,jesper
71,3.87,19,19,fluct,const,jesper
72,4.02,19,19,fluct,const,paul
74,3.91,19,19,fluct,const,jesper
75,3.97,19,19,fluct,const,paul
76,3.5,19,19,fluct,const,paul
77,3.7,19,19,fluct,const,jesper
78,3.71,19,19,fluct,const,jesper
79,3.91,19,19,fluct,const,paul
80,3.72,19,19,fluct,const,jesper
