no.;ctmin;dev.temp;ad.temp;dev.treat;ad.treat;observer
1;5.24;19;23;const;const;paul
2;5.23;19;23;const;const;paul
3;5.53;19;23;const;const;paul
4;4.79;19;23;const;const;paul
5;5.39;19;23;const;const;paul
6;5.08;19;23;const;const;paul
7;5.18;19;23;const;const;paul
8;5.34;19;23;const;const;paul
9;5.12;19;23;const;const;paul
10;5.58;19;23;const;const;paul
11;3.75;19;19;const;const;paul
12;3.54;19;19;const;const;paul
13;3.66;19;19;const;const;paul
14;4.2;19;19;const;const;paul
15;4.18;19;19;const;const;paul
16;4.06;19;19;const;const;paul
17;3.5;19;19;const;const;paul
18;3.78;19;19;const;const;paul
19;3.59;19;19;const;const;paul
20;3.86;19;19;const;const;paul
21;5.02;19;23;fluct;fluct;paul
22;4.61;19;23;fluct;fluct;paul
23;4.62;19;23;fluct;fluct;paul
24;4.8;19;23;fluct;fluct;paul
25;5.27;19;23;fluct;fluct;paul
26;4.79;19;23;fluct;fluct;paul
27;4.98;19;23;fluct;fluct;paul
28;4.89;19;23;fluct;fluct;paul
29;4.41;19;23;fluct;fluct;paul
30;5.35;19;23;fluct;fluct;paul
32;4.22;19;19;fluct;fluct;paul
33;3.87;19;19;fluct;fluct;paul
34;3.36;19;19;fluct;fluct;paul
35;3.28;19;19;fluct;fluct;paul
36;3.92;19;19;fluct;fluct;paul
37;3.5;19;19;fluct;fluct;paul
38;4.53;19;19;fluct;fluct;paul
39;3.73;19;19;fluct;fluct;paul
40;3.86;19;19;fluct;fluct;paul
