Animal #,Photoperiod,Food,Injection,Baseline body mass (g),Week 1 body mass (g),Week 2 body mass (g),Week 3 body mass (g),Week 4 body mass (g),Week 5 body mass (g),Week 6 body mass (g),Baseline food intake (average daily) (g),Week 1 food intake (g),Week 2 food intake (g),Week 3 food intake (g),Week 4 food intake (g),Week 5 food intake (g),Week 6 food intake (g),Baseline Estimated Testis Volume (ETV) (mm^3),Week 1 ETV (mm^3),Week 2 ETV (mm^3),Week 3 ETV (mm^3),Week 4 ETV (mm^3),Week 5 ETV (mm^3),Week 6 ETV (mm^3),Final paired testes mass (g),Epididymal White Adipose Tissue (EWAT) mass (g),Baseline serum LH (ng/mL),Week 6 serum LH (ng/mL),Baseline serum Testosterone (ng/mL),Week 6 serum Testosterone (ng/mL)
1,SD,FR,Kisspeptin,41.3,39.5,37.1,36.1,33,31.2,29.8,5.1,30.4,28.9,30.7,23.3,23.7,24,1648.64,1037.46,1164.66,1101.28,1073.22,676.81,715.03,0.124,0.245,1,0.035,5.92,2.57
2,ID,AL,Kisspeptin,36.6,36.5,36.3,37.4,37.6,39.2,39.6,6.8,38.3,39.6,37.3,36.7,36.7,37.4,1938.52,1411.89,1315.05,1373.61,1548.20,1388.81,1559.29,0.596,0.436,0.21,0.53,2.21,2.72
3,ID,FR,Vehicle,37.3,36.6,36.1,34.9,34.4,33.1,32.5,6.3,32.3,39.9,38.7,39.9,35,35,1948.61,1327.65,1578.26,1572.08,1374.92,1436.78,927.66,0.417,0.497,0.32,0.11,3.44,3.24
4,SD,AL,Vehicle,43.2,43.4,41.6,39.7,37.8,34.9,32.1,4.9,35.8,37.1,30.6,25.7,25.4,26.5,1573.09,1372.89,1232.10,916.84,803.84,619.80,529.00,0.041,0.115,0.38,0.035,7.16,2.28
5,SD,AL,Kisspeptin,35,34.8,33.8,32.8,32.6,30.2,28.8,4.8,34.4,36.1,33.5,34.2,26.7,28.6,1506.25,1171.42,1187.45,713.18,1058.98,997.99,667.61,0.075,0.277,0.25,0.06,10.56,1.60
6,SD,AL,Kisspeptin,37.5,36.3,35.2,33.5,32.1,30,28.2,4.0,27.4,32.5,26.2,23.2,22,22,1793.26,1592.61,1389.66,1026.36,1133.82,953.05,957.22,0.082,0.285,0.097,0.035,9.77,2.49
7,SD,FR,Vehicle,38.5,36.1,33.1,30.6,27.9,26.1,24.7,3.6,22.4,22.4,22.4,20,20,22,1722.80,961.18,1018.73,633.36,406.96,309.08,270.50,0.039,0.159,0.17,0.099,5.60,1.15
9,ID,FR,Vehicle,50.2,49.5,49,48.8,49.3,48.2,47.2,5.4,33,34.3,34.3,33.2,30.8,30.8,1835.04,1853.09,1682.33,1607.13,1537.16,1611.29,1460.32,0.429,1.047,1.21,0.97,11.82,2.68
11,SD,FR,Kisspeptin,39.6,37.6,37.9,37.5,36,35.2,33.5,4.7,24.8,28.6,27.9,22.6,23.4,23.3,1222.07,1138.41,823.38,951.90,1001.30,580.43,497.24,0.094,0.624,1.76,0.031,13.42,2.45
12,ID,AL,Vehicle,38,37.7,37.1,38.7,36.9,37.5,36.6,4.0,29.6,27.9,30.9,25.5,28.3,29.1,1644.24,1336.69,1394.55,1248.92,1641.20,1297.25,1247.67,0.523,0.679,0.48,0.52,6.62,9.84
13,SD,AL,Vehicle,40.3,38.2,37.2,37.7,35.1,32.8,30.9,4.5,27.2,30.2,31.1,24.4,24.1,25,1832.19,1629.77,1283.34,1450.32,1018.24,643.89,698.51,0.059,0.236,2.18,0.035,2.00,2.18
15,ID,AL,Kisspeptin,37.3,37.5,39.9,39.5,38.2,38,35.8,5.6,40,46,39.4,36.5,35.8,37.1,1412.53,1541.90,1405.54,1724.99,1744.67,1768.26,1626.31,0.636,0.792,0.24,0.06,2.46,3.45
16,SD,AL,Vehicle,39.1,40,40.1,38.7,36.7,35.5,32.3,5.2,38.5,25.1,42.7,29.7,26.9,24.2,1571.33,1780.80,1586.61,1714.39,1651.58,1447.25,1209.35,0.082,0.468,0.26,0.06,2.27,2.33
17,ID,AL,Vehicle,41.8,43.4,44.7,45.9,46.5,48,48.3,4.8,39.3,37.3,36.5,37.5,36.9,38.9,1770.32,1751.22,1884.71,2021.23,2058.69,2108.62,2079.52,0.707,1.164,0.08,0.06,8.11,10.76
18,ID,FR,Kisspeptin,45.1,42.6,39.8,40.1,40.5,39.5,37.8,6.1,28.9,38.5,38.5,38.5,34.3,34.3,1693.75,1660.53,1532.38,1776.09,1711.47,1086.31,734.19,0.715,0.702,1.87,0.035,14.38,11.93
19,SD,FR,Vehicle,39.4,39.1,37.7,35.3,33.1,30.4,26.5,5.2,31.6,28,25.6,22.9,22.6,23,1653.69,1484.72,1316.18,1278.75,924.80,684.00,610.40,0.049,0.047,0.035,0.035,3.32,1.28
20,SD,FR,Kisspeptin,42.2,38.6,37.3,34.4,32.8,29.8,27.3,5.0,24.7,29.4,27.9,24.8,22.6,23,1620.62,1775.86,1626.25,1011.18,771.48,547.13,408.85,0.104,0.229,0.23,0.035,5.29,1.96
21,SD,AL,Kisspeptin,34.1,35.2,36.6,36,34,31.3,30,4.3,38.2,36.8,34.2,31.4,22.1,26.6,1466.43,1435.75,1640.88,1644.38,1119.04,1320.64,1278.26,0.129,0.268,0.11,0.07,7.94,3.75
22,ID,FR,Vehicle,34.7,33.8,34,33.1,33.5,32.5,30.9,4.8,29.9,30.1,30.1,30.1,26.6,26.6,1435.52,1623.83,1352.07,1363.25,1357.14,1231.32,1350.20,0.463,0.525,0.078,0.07,3.06,2.16
23,ID,AL,Kisspeptin,42.3,42.6,42.9,43.8,43.4,43.4,42.9,5.4,33.6,33.9,33.1,37.8,30.1,33.6,1607.26,1725.34,1740.94,1739.02,1596.80,1699.02,2046.01,0.632,1.264,0.035,0.075,5.70,3.88
25,ID,FR,Kisspeptin,39.5,37.8,37.1,38.4,35.6,33.8,33.2,6.9,20.8,33.1,39.2,34.7,35,35,1886.26,1929.22,1546.24,1663.62,1405.81,1243.22,1328.81,0.494,0.481,0.48,0.035,19.02,2.11
