date,unit,Te,WP #,Model #,light type,site
6/1/15 7:59,C,27,79,49,sun,38 SPS
6/1/15 8:14,C,29.5,79,49,sun,38 SPS
6/1/15 8:29,C,31.5,79,49,sun,38 SPS
6/1/15 8:44,C,34.5,79,49,sun,38 SPS
6/1/15 8:59,C,36,79,49,sun,38 SPS
6/1/15 9:14,C,38,79,49,sun,38 SPS
6/1/15 9:29,C,40,79,49,sun,38 SPS
6/1/15 9:44,C,42,79,49,sun,38 SPS
6/1/15 9:59,C,43.5,79,49,sun,38 SPS
6/1/15 10:14,C,44.5,79,49,sun,38 SPS
6/1/15 10:29,C,38.5,79,49,sun,38 SPS
6/1/15 10:44,C,46.5,79,49,sun,38 SPS
6/1/15 10:59,C,42,79,49,sun,38 SPS
6/1/15 11:14,C,36.5,79,49,sun,38 SPS
6/1/15 11:29,C,41,79,49,sun,38 SPS
6/1/15 11:44,C,45,79,49,sun,38 SPS
6/1/15 11:59,C,43.5,79,49,sun,38 SPS
6/1/15 12:14,C,35,79,49,sun,38 SPS
6/1/15 12:29,C,33,79,49,sun,38 SPS
6/1/15 12:44,C,27,79,49,sun,38 SPS
6/1/15 12:59,C,24.5,79,49,sun,38 SPS
6/2/15 8:59,C,26.5,94,49,shade,9 W SPS
6/2/15 9:14,C,26,94,49,shade,9 W SPS
6/2/15 9:29,C,27,94,49,shade,9 W SPS
6/2/15 9:44,C,27.5,94,49,shade,9 W SPS
6/2/15 9:59,C,27,94,49,shade,9 W SPS
6/2/15 10:14,C,27,94,49,shade,9 W SPS
6/2/15 10:29,C,27,94,49,shade,9 W SPS
6/2/15 10:44,C,27.5,94,49,shade,9 W SPS
6/2/15 10:59,C,28,94,49,shade,9 W SPS
6/2/15 11:14,C,28,94,49,shade,9 W SPS
6/2/15 11:29,C,28.5,94,49,shade,9 W SPS
6/2/15 11:44,C,29,94,49,shade,9 W SPS
6/2/15 11:59,C,29.5,94,49,shade,9 W SPS
6/2/15 12:14,C,30,94,49,shade,9 W SPS
6/2/15 12:29,C,29.5,94,49,shade,9 W SPS
6/2/15 12:44,C,29.5,94,49,shade,9 W SPS
6/2/15 12:59,C,29,94,49,shade,9 W SPS
6/1/15 8:02,C,28,77,16,sun,38 SPS
6/1/15 8:17,C,30.5,77,16,sun,38 SPS
6/1/15 8:32,C,32.5,77,16,sun,38 SPS
6/1/15 8:47,C,34.5,77,16,sun,38 SPS
6/1/15 9:02,C,35.5,77,16,sun,38 SPS
6/1/15 9:17,C,37.5,77,16,sun,38 SPS
6/1/15 9:32,C,38.5,77,16,sun,38 SPS
6/1/15 9:47,C,40.5,77,16,sun,38 SPS
6/1/15 10:02,C,42,77,16,sun,38 SPS
6/1/15 10:17,C,41.5,77,16,sun,38 SPS
6/1/15 10:32,C,37.5,77,16,sun,38 SPS
6/1/15 10:47,C,45,77,16,sun,38 SPS
6/1/15 11:02,C,42,77,16,sun,38 SPS
6/1/15 11:17,C,37,77,16,sun,38 SPS
6/1/15 11:32,C,43,77,16,sun,38 SPS
6/1/15 11:47,C,49,77,16,sun,38 SPS
6/1/15 12:02,C,42.5,77,16,sun,38 SPS
6/1/15 12:17,C,36.5,77,16,sun,38 SPS
6/1/15 12:32,C,35.5,77,16,sun,38 SPS
6/1/15 12:47,C,28.5,77,16,sun,38 SPS
6/1/15 13:02,C,24.5,77,16,sun,38 SPS
6/2/15 8:47,C,27,92,16,mix,9 W SPS
6/2/15 9:02,C,30,92,16,mix,9 W SPS
6/2/15 9:17,C,32.5,92,16,mix,9 W SPS
6/2/15 9:32,C,36,92,16,mix,9 W SPS
6/2/15 9:47,C,34,92,16,mix,9 W SPS
6/2/15 10:02,C,31.5,92,16,mix,9 W SPS
6/2/15 10:17,C,30.5,92,16,mix,9 W SPS
6/2/15 10:32,C,30.5,92,16,mix,9 W SPS
6/2/15 10:47,C,30.5,92,16,mix,9 W SPS
6/2/15 11:02,C,31,92,16,mix,9 W SPS
6/2/15 11:17,C,32,92,16,mix,9 W SPS
6/2/15 11:32,C,32,92,16,mix,9 W SPS
6/2/15 11:47,C,33,92,16,mix,9 W SPS
6/2/15 12:02,C,32.5,92,16,mix,9 W SPS
6/2/15 12:17,C,33,92,16,mix,9 W SPS
6/2/15 12:32,C,32.5,92,16,mix,9 W SPS
6/2/15 12:47,C,32,92,16,mix,9 W SPS
6/2/15 13:02,C,32.5,92,16,mix,9 W SPS
6/1/15 7:54,C,23,73,6,random,Salt Springs LLP
6/1/15 8:09,C,23.5,73,6,random,Salt Springs LLP
6/1/15 8:24,C,24.5,73,6,random,Salt Springs LLP
6/1/15 8:39,C,25,73,6,random,Salt Springs LLP
6/1/15 8:54,C,26,73,6,random,Salt Springs LLP
