date,time,db,Hot/cold te,time of day (early/midday),Te 30,Te 60,site,SVL,Ta,Tb,Tset,habitat type,pressed,sex,Tsub,light,substrate,sub type,behavior,de,E
1-Jun-15,8:00:00 AM,,,,,28.06,38 SPS,,26.5,,,,,,,,,,,,
1-Jun-15,8:20:00 AM,,,,27.31,28.06,38 SPS,54,,28,,SPS,n,f,,,ground,sand/leaves,basking,,
1-Jun-15,8:34:00 AM,2.172,C,E,28.89,28.06,38 SPS,47,,34.5,32.328,SPS,n,m,,,ground,sand/leaves,,3.438,0.368237347
1-Jun-15,8:47:00 AM,,,,30.64,28.06,38 SPS,46,31,34.5,,SPS,n,m,,,,,,,
1-Jun-15,9:08:00 AM,,,,32.27,34.94,38 SPS,53.5,,36.2,,SPS,y,m,,shade,ground,leaf litter,,,
1-Jun-15,10:08:00 AM,,,,36.71,34.94,38 SPS,58.5,34.2,36.2,,SPS,n,f,,,,,,,
1-Jun-15,11:08:00 AM,,,,,35.93,Salt springs LLP,,31.8,,,,,,,,,,,,
1-Jun-15,11:48:00 AM,,,,34.44,35.93,Salt springs LLP,60.5,31.4,32,,LLP,n,f,,overcast,tree,0.75m up TO,foraging,,
1-Jun-15,12:00:00 PM,,,,33.87,29.6,Salt springs LLP,51.5,,32,,LLP,n,m,,overcast,tree,0.25m up TP,basking,,
1-Jun-15,12:27:00 PM,,,,31.71,29.6,Salt springs LLP,59,,30.8,,LLP,y,m,,overcast,ground,leaf litter,,,
1-Jun-15,1:34:00 PM,,,,,29.6,Salt springs LLP,57.5,31.2,33.3,,LLP,n,f,,,ground,leaf litter,,,
1-Jun-15,1:37:00 PM,,,,,29.6,Salt springs LLP,52,,37,,LLP,n,m,,full sun,ground,leaf litter,,,
1-Jun-15,2:09:00 PM,,,,,,Salt springs LLP,46,,34,,LLP,n,m,,full sun,tree,1.5m up LLP,,,
2-Jun-15,9:00:00 AM,,,,,29.05,9 W SPS,,27.8,,,,,,,,,,,,
2-Jun-15,9:51:00 AM,,,,29.39,29.05,9 W SPS,51,28.2,31.5,,SPS,y,m,,,,,,,
2-Jun-15,10:57:00 AM,,,,29.12,30.3, 9 W SPS,60,,31.2,,SPS,y,f,,full sun,ground,on sand road,basking,,
2-Jun-15,11:04:00 AM,,,,,30.3,9 W SPS,,28.8,,,,,,,,,,,,
2-Jun-15,11:48:00 AM,,,,,27.32,Kerr LLP,,28.2,,,,,,,,,,,,
2-Jun-15,11:52:00 AM,,,,27.65,27.32,Kerr LLP,47,,30.5,,LLP,n,m,,overcast,tree,0.25m up LLP,,,
2-Jun-15,12:17:00 PM,,,,27.77,27.94,Kerr LLP,54.5,,29.2,,LLP,n,f,,overcast,ground,sand,,,
2-Jun-15,12:25:00 PM,,,,27.79,27.94,Kerr LLP,51,,31.2,,LLP,n,f,,overcast,ground,sand between wire grass,,,
2-Jun-15,12:35:00 PM,5.057,C,M,27.97,27.94,Kerr LLP,53,,31.2,36.257,LLP,n,m,,overcast,ground,sand between wire grass,,8.287,0.389767105
2-Jun-15,12:39:00 PM,,,,28.01,27.94,Kerr LLP,61,,30,,LLP,n,f,,overcast,ground,1m^2 oak shrub perimeter,,,
2-Jun-15,12:50:00 PM,,,,28.18,27.94,Kerr LLP,62,,30.4,,LLP,n,f,,overcast,ground,leaf litter,,,
2-Jun-15,1:04:00 PM,,,,28.18,27.94,Kerr LLP,50,,29.2,,LLP,n,f,,overcast,ground,leaf litter,,,
2-Jun-15,1:14:00 PM,,,,28.18,27.94,Kerr LLP,49.5,28.8,31.2,,LLP,n,m,,overcast,ground,leaf litter,,,
2-Jun-15,8:09:00 AM,,,,,28.06,38 SPS,,24.8,,,,,,,,,,,,
2-Jun-15,8:30:00 AM,,,,,28.06,38 SPS,,28,,,,,,,,,,,,
2-Jun-15,9:26:00 AM,,,,,,38 SPS,,28.8,,,,,,,,,,,,
2-Jun-15,10:20:00 AM,,,,,,38 SPS,,31.6,,,,,,,,,,,,
11-Jun-15,8:45:00 AM,,,,,,38 SPS,,24.4,,,,,,,,,,,,
11-Jun-15,8:55:00 AM,,,,26.58,27.7,38 SPS,55,,32.2,,SPS,n,m,,full sun,ground,sand,push-ups shortly before caught,,
11-Jun-15,9:05:00 AM,,,,26.64,27.7,38 SPS,47,,31.2,,SPS,n,m,,full sun,ground,sand,,,
11-Jun-15,9:22:00 AM,,,,,,38 SPS,,28.3,,,,,,,,,,,,
11-Jun-15,9:52:00 AM,,,,,,38 SPS,,30.5,,,,,,,,,,,,
11-Jun-15,10:01:00 AM,1.8045,C,E,29.41,31.54,38 SPS,52.5,,34,35.8045,SPS,y,m,,,,,,6.3945,0.717804363
11-Jun-15,10:11:00 AM,,,,30.08,31.54,38 SPS,44,33.8,35,,SPS,n,m,36.9,full sun,ground,dead wood,basking,,
11-Jun-15,11:21:00 AM,,,,,34.8,Salt springs LLP,,30.8,,,,,,,,,,,,
11-Jun-15,11:29:00 AM,,,,34.2,34.8,Salt springs LLP,50,,33.5,,LLP,n,f,34.7,full sun,ground,leaf litter,,,
11-Jun-15,11:40:00 AM,,,,,34.8,Salt springs LLP,,31,,,,,,,,,,becomes very cloudy,,
11-Jun-15,11:44:00 AM,,,,34.08,34.8,Salt springs LLP,53,,32.2,,LLP,n,f,32.5,full sun,tree,1m up LLP,foraging,,
11-Jun-15,12:03:00 PM,,,,34.76,36.04,Salt springs LLP,53.5,,34,,LLP,n,m,,,ground,leaf litter,,,
11-Jun-15,12:14:00 PM,,,,,,Salt springs LLP,,32.6,,,,,,,,,,,,
11-Jun-15,12:29:00 PM,,,,35.71,36.04,Salt springs LLP,46.5,,32.5,,LLP,y,m,32.7,,tree,1m up TO,foraging,,
11-Jun-15,12:36:00 PM,3.644,C,M,35.88,36.04,Salt springs LLP,47,,32.5,36.144,LLP,n,m,33.1,overcast,ground,leaf litter,,0.264,12.8030303
11-Jun-15,1:09:00 PM,,,,36.3,36.04,Salt springs LLP,59,,36.8,,LLP,n,f,44.2,full sun,ground,dead wood,basking,,
12-Jun-15,8:15:00 AM,,,,,,Kerr LLP,,25.4,,,,,,,,,,,,
12-Jun-15,8:52:00 AM,,,,,,Kerr LLP,,27.2,,,,,,,,,,,,
12-Jun-15,9:05:00 AM,,,,27.01,28.87,Kerr LLP,63.5,,27.8,,LLP,n,f,28.1,overcast,ground,leaf litter,,,
12-Jun-15,9:16:00 AM,,,,,,Kerr LLP,,27.7,,,,,,,,,,,,
12-Jun-15,9:34:00 AM,,,,28.36,28.87,Kerr LLP,48,,29.5,,LLP,n,f,29.4,full sun,tree,0.5m up LLP,,,
12-Jun-15,9:41:00 AM,,,,28.88,28.87,Kerr LLP,47.5,,29.1,,LLP,n,f,29.4,full sun,ground,leaf litter,,,
12-Jun-15,9:50:00 AM,,,,29.46,28.87,Kerr LLP,54,29.2,29,,LLP,n,f,29.8,full sun,ground,leaf litter,,,
12-Jun-15,9:58:00 AM,,,,30.92,28.87,Kerr LLP,44.5,,32.2,,LLP,n,m,32.1,full sun,ground,leaf litter,,,
12-Jun-15,10:09:00 AM,,,,32.43,34.34,Kerr LLP,46.5,31.4,33.8,,LLP,n,m,35.8,full sun,ground,leaf litter,,,
12-Jun-15,10:23:00 AM,,,,33.21,34.34,Kerr LLP,48.5,,32.8,,LLP,y,f,,overcast,ground,leaf litter,,,
12-Jun-15,10:33:00 AM,,,,33.86,34.34,Kerr LLP,50,,33.8,,LLP,n,m,34.1,overcast,ground,leaf litter,,,
12-Jun-15,10:42:00 AM,,,,34.83,34.34,Kerr LLP,44.5,,32.1,,LLP,n,m,29.1,overcast,tree,0.5m up TO,,,
12-Jun-15,10:46:00 AM,,,,34.83,34.34,Kerr LLP,43,,36.2,,LLP,n,m,,,ground,leaf litter,,,
30-Jun-15,8:17:00 AM,,,,,,38 SPS,,25.8,,,,,,,,,,,,
30-Jun-15,8:26:00 AM,,,,,26.4,38 SPS,59,,26.8,,SPS,n,f,24.4,,ground,leaf litter,,,
30-Jun-15,9:00:00 AM,,,,,,38 SPS,,30,,,,,,,,,,,,
30-Jun-15,9:25:00 AM,,,,,,38 SPS,,32.2,,,,,,,,,,,,
30-Jun-15,9:52:00 AM,3.278,C,E,32.76,31.4,38 SPS,48.5,,34.2,37.478,SPS,n,m,,,,,,4.718,0.305214074
30-Jun-15,10:06:00 AM,,,,,,38 SPS,,33,,,,,,,,,,,,
30-Jun-15,11:25:00 AM,,,,,,Kerr LLP,,31.8,,,,,,,,,,,,
30-Jun-15,11:29:00 AM,0.187,H,E,38.89,38.19,Kerr LLP,48,,34.2,34.387,LLP,n,m,34.9,mix,ground,sand road,,4.503,0.95847213
30-Jun-15,11:37:00 AM,4.105,H,M,40,38.19,Kerr LLP,47,,33.8,37.905,LLP,n,m,31.8,mix,tree,2m up LLP,,2.095,0.959427208
30-Jun-15,11:45:00 AM,1.757,H,M,39.9,38.19,Kerr LLP,54.5,,35,36.757,LLP,y,m,36.2,full sun,ground,sand road,,3.143,0.440979956
30-Jun-15,11:57:00 AM,,,,38.82,38.19,Kerr LLP,46,,34,,LLP,b,m,,full sun,tree,1.75m up TO,,,
30-Jun-15,11:59:00 AM,2.634,H,M,38.82,38.19,Kerr LLP,49.5,,34.4,37.034,LLP,y,m,,mix,tree,1.5m up TO,,1.786,0.474804031
30-Jun-15,12:07:00 PM,,,,,,Kerr LLP,,33.5,,,,,,,,,,,,
30-Jun-15,12:33:00 PM,,,,,36.39,Kerr LLP,50,34.1,36.1,,LLP,n,f,37.6,,ground,leaf litter,,,
30-Jun-15,12:40:00 PM,,,,,36.39,Kerr LLP,53,,34.9,,LLP,n,f,,full sun,ground,leaf litter,,,
30-Jun-15,12:55:00 PM,4.768,H,M,38.23,36.39,Kerr LLP,54,,34.8,39.568,LLP,n,m,,mix,tree,1m up TO,,1.338,2.563527653
30-Jun-15,2:08:00 PM,6.151,,M,,,OHV LLP,45,33,31.5,37.651,LLP,y,m,27.6,,tree,1.5m up TO,foraging,,
1-Jul-15,8:14:00 AM,,,,,,OHV LLP,,26,,,,,,,,,,,,
1-Jul-15,8:23:00 AM,,,,,26.7,OHV LLP,62,,26.4,,LLP,n,f,,,ground,leaf litter,,,
1-Jul-15,8:35:00 AM,,,,27.28,26.7,OHV LLP,51,,33.8,,LLP,n,m,,full sun,ground,leaf litter,basking,,
1-Jul-15,8:58:00 AM,,,,,,OHV LLP,,29.9,,,,,,,,,,,,
1-Jul-15,9:24:00 AM,4.474,C,E,29.92,30.35,OHV LLP,53.5,,34.1,38.574,LLP,y,m,,mix,ground,leaf litter,,8.654,0.483013635
1-Jul-15,10:11:00 AM,,,,,,OHV LLP,,32.1,,,,,,,,,,,,
1-Jul-15,10:53:00 AM,,,,,,9 W SPS,,32.6,,,,,,,,,,,,
1-Jul-15,11:32:00 AM,,,,,,9 W SPS,,34.8,,,,,,,,,,,,
1-Jul-15,11:46:00 AM,,,,,,9 W SPS,,36,,,,,,,,,,,,
1-Jul-15,12:23:00 PM,,,,,,9 W SPS,,27.8,,,,,,,,,,,,
1-Jul-15,12:41:00 PM,9.6,C,M,25.68,27.16,9 W SPS,48.5,,28.1,37.7,SPS,y,m,25.4,,ground,sand road,,12.02,0.201331115
1-Jul-15,1:02:00 PM,,,,,,9 W SPS,,28.9,,,,,,,,,,,,
1-Jul-15,1:08:00 PM,9.414,C,M,26.69,27.16,9 W SPS,52,,28.2,37.614,SPS,n,m,,overcast,ground,sand road,,10.924,0.138227755
1-Jul-15,1:23:00 PM,8.141,C,M,26.69,27.16,9 W SPS,49.5,,30.2,38.341,SPS,n,m,,overcast,ground,sand road,,11.651,0.301261694
1-Jul-15,1:30:00 PM,,,,,27.16,9 W SPS,59,30.2,29,,SPS,n,f,,overcast,ground,sand road,,,
5-Jul-15,8:04:00 AM,,,,,,38 SPS,,24.1,,,,,,,,,,,,
5-Jul-15,8:28:00 AM,,,,,,38 SPS,,28.2,,,,,,,,,,,,
5-Jul-15,9:07:00 AM,,,,,,38 SPS,,29.2,,,,,,,,,,,,
5-Jul-15,10:04:00 AM,,,,,,38 SPS,,31.9,,,,,,,,,,,,
5-Jul-15,10:49:00 AM,1.245,C,E,36.1,34.78,38 SPS,55,,36.1,37.345,SPS,n,m,,,,,,1.245,0
5-Jul-15,11:26:00 AM,,,,,,OHV LLP,,32.5,,,,,,,,,,,,
5-Jul-15,11:32:00 AM,,,,,37.2,OHV LLP,57.4,,37.5,,LLP,n,f,44.6,,ground,dead wood,basking,,
5-Jul-15,12:02:00 PM,,,,,38.55,OHV LLP,61,,36,,LLP,n,f,37.3,mix,ground,leaf litter,,,
5-Jul-15,12:08:00 PM,,,,,,OHV LLP,,33.5,,,,,,,,,,,,
