"","BodySize.mm.","DevStage","TrophicGrp"
"Acanthosomatidae.sp1","6","Undif","Herb"
"Acanthosomatidae.sp2","9","Adult","Herb"
"Acanthosomatidae.sp3","3","Nymph","Herb"
"Acanthosomatidae.sp4","8","Nymph","Herb"
"Achaearanea.sp","2","Undif","Pred"
"Acrididae.sp1","7.5","Undif","Herb"
"Acrididae.sp10","15","Undif","Herb"
"Acrididae.sp11","14","Undif","Herb"
"Acrididae.sp12","15","Undif","Herb"
"Acrididae.sp13","18","Undif","Herb"
"Acrididae.sp14","5","Undif","Herb"
"Acrididae.sp15","7.5","Undif","Herb"
"Acrididae.sp16","42","Undif","Herb"
"Acrididae.sp17","8","Undif","Herb"
"Acrididae.sp18","5","Undif","Herb"
"Acrididae.sp19","17","Undif","Herb"
"Acrididae.sp2","6","Undif","Herb"
"Acrididae.sp3","4","Undif","Herb"
"Acrididae.sp4","5","Undif","Herb"
"Acrididae.sp5","6.5","Undif","Herb"
"Acrididae.sp6","5","Undif","Herb"
"Acrididae.sp7","5","Undif","Herb"
"Acrididae.sp8","13","Undif","Herb"
"Acrididae.sp9","12","Undif","Herb"
"Adelophaga.sp1","3","Adult","Herb"
"Adelophaga.sp2","4.5","Adult","Herb"
"Adelophaga.sp3","3","Adult","Herb"
"Adelophaga.sp4","3","Adult","Herb"
"Adelophaga.sp5","25","Adult","Herb"
"Adelophaga.sp6","3","Adult","Herb"
"Adelophaga.sp7","4","Adult","Herb"
"Aeolothripidae.sp1","1","Adult","Pred"
"Aeolothripidae.sp2","0.5","Adult","Pred"
"Afropisaura.sp1","3","Undif","Pred"
"Afropisaura.sp2","1","Undif","Pred"
"Aleyrodidae.sp1","0.5","Adult","Herb"
"Aleyrodidae.sp2","0.5","Adult","Herb"
"Alticinae.sp","2","Adult","Herb"
"Anthocoridae.sp1","1.5","Adult","Pred"
"Anthocoridae.sp2","2","Adult","Pred"
"Anthocoridae.sp3","2","Adult","Pred"
"Anthocoridae.sp4","2","Adult","Pred"
"Aphanisticus.sp","4.5","Adult","Herb"
"Aphidoidea.sp1","1.5","Undif","Herb"
"Aphidoidea.sp2","1","Undif","Herb"
"Aphrophoridae.sp1","5","Adult","Herb"
"Aphrophoridae.sp2","4","Adult","Herb"
"Aphrophoridae.sp3","4.5","Adult","Herb"
"Aphrophoridae.sp4","10","Adult","Herb"
