id,treatment,days,date,AFDM,Chl,Chl AFDM-1,GPP,GPP.no0,CR,CR.no0
B2,Control,7,2/2/2014,0.04,0.00259258,0.069444099,3.54,3.54,0,0.00001
R3,Control,7,2/2/2014,0.04,0.005194846,0.139147658,2.62,2.62,1.98,1.98
B4,Control,7,2/2/2014,0.02,0.004234863,0.18323925,0.82,0.82,2.52,2.52
R1,Hippo,7,2/2/2014,0.03,0.00248508,0.07765875,0,0.00001,0,0.00001
R4,Hippo,7,2/2/2014,0.02,0.000486762,0.024891217,0,0.00001,0,0.00001
B1,Hippo,7,2/2/2014,0.02,0.003650133,0.157938462,0,0.00001,2.78,2.78
B6,Hippo Wildebeest,7,2/2/2014,0.03,0.000661823,0.021898544,0,0.00001,0,0.00001
R5,Hippo Wildebeest,7,2/2/2014,0.02,0.003113725,0.175147031,0.31,0.31,0,0.00001
R2,Hippo Wildebeest,7,2/2/2014,0.05,0.00453155,0.098038333,4.79,4.79,2.29,2.29
R6,Wildebeest,7,2/2/2014,0.06,0.00738241,0.118645873,2.14,2.14,0,0.00001
B5,Wildebeest,7,2/2/2014,0.02,0.001647575,0.06619721,0,0.00001,1.46,1.46
B3,Wildebeest,7,2/2/2014,0.03,0.003112643,0.092150625,0.07,0.07,1.79,1.79
B2,Control,14,2/9/2014,0.03,0.012948533,0.48557,2.5,2.5,2.1,2.1
B4,Control,14,2/9/2014,0.03,0.010925489,0.361505147,3.45,3.45,3.45,3.45
R3,Control,14,2/9/2014,0.04,0.015420837,0.346968828,6.3,6.3,3.9,3.9
B1,Hippo,14,2/9/2014,0.02,0.01068136,0.462174231,2.48,2.48,2.48,2.48
R4,Hippo,14,2/9/2014,0.04,0.015946857,0.427147959,6.72,6.72,2.74,2.74
R1,Hippo,14,2/9/2014,0.02,0.007451549,0.322422781,4.92,4.92,4.92,4.92
B6,Hippo Wildebeest,14,2/9/2014,0.02,0.02043977,0.88441313,4.58,4.58,2.18,2.18
R2,Hippo Wildebeest,14,2/9/2014,0.06,0.017075911,0.309845161,6.65,6.65,3.84,3.84
R5,Hippo Wildebeest,14,2/9/2014,0.07,0.052494829,0.798063272,17.04,17.04,3.98,3.98
R6,Wildebeest,14,2/9/2014,0.09,0.0336536,0.371179412,10.75,10.75,2,2
B3,Wildebeest,14,2/9/2014,0.06,0.011350476,0.205956221,1.76,1.76,2.56,2.56
B5,Wildebeest,14,2/9/2014,0.07,0.008819744,0.12720784,3,3,2.6,2.6
R3,Control,21,2/16/2014,0.03,0.076980578,2.706348438,8.05,8.05,0.98,0.98
B4,Control,21,2/16/2014,0.03,0.026228897,0.983583636,4.92,4.92,1.66,1.66
B2,Control,21,2/16/2014,0.02,0.027660568,1.29658913,5.89,5.89,2.15,2.15
B1,Hippo,21,2/16/2014,0.03,0.075537307,2.360540833,7.16,7.16,1.58,1.58
R1,Hippo,21,2/16/2014,0.07,0.135370414,1.952457891,10.04,10.04,2.84,2.84
R4,Hippo,21,2/16/2014,0.04,0.046669,1.2500625,14.56,14.56,2.99,2.99
B6,Hippo Wildebeest,21,2/16/2014,0.03,0.103553429,3.640550223,7.73,7.73,1.13,1.13
R2,Hippo Wildebeest,21,2/16/2014,0.03,0.230774286,7.211696429,13.81,13.81,3.38,3.38
R5,Hippo Wildebeest,21,2/16/2014,0.07,0.530449333,7.852046053,31.55,31.55,6.1,6.1
B5,Wildebeest,21,2/16/2014,0.03,0.041392152,1.369593277,3.85,3.85,0.56,0.56
B3,Wildebeest,21,2/16/2014,0.04,0.029218373,0.684805625,5.25,5.25,1.09,1.09
R6,Wildebeest,21,2/16/2014,0.06,0.3333264,6.04826129,31.67,31.67,3.66,3.66
B2,Control,27,2/22/2014,0.04,0.214143145,4.818220759,27.28,27.28,3.02,3.02
B4,Control,27,2/22/2014,0.04,0.083415273,2.13277686,36.01,36.01,3.54,3.54
R3,Control,27,2/22/2014,0.06,0.357420974,5.913214642,58.52,58.52,6.7,6.7
R1,Hippo,27,2/22/2014,0.09,0.023861914,0.268446529,0,0.00001,0,0.00001
B1,Hippo,27,2/22/2014,0.04,0.193773879,4.739035079,35.16,35.16,14.51,14.51
R4,Hippo,27,2/22/2014,0.05,0.368222409,7.397325179,135.77,135.77,20.11,20.11
B6,Hippo Wildebeest,27,2/22/2014,0.05,0.54359296,11.32485333,88.57,88.57,1.79,1.79
R2,Hippo Wildebeest,27,2/22/2014,0.1,0.585207627,5.878201607,197.17,197.17,18.29,18.29
R5,Hippo Wildebeest,27,2/22/2014,0.15,1.175051613,7.963452196,345.22,345.22,27.43,27.43
B5,Wildebeest,27,2/22/2014,0.04,0.1006304,2.461069565,45.69,45.69,2.93,2.93
B3,Wildebeest,27,2/22/2014,0.06,0.300063273,4.688488636,70.6,70.6,13.8,13.8
R6,Wildebeest,27,2/22/2014,0.07,0.533720852,7.14804712,188.89,188.89,16.72,16.72
