Population Population_Type Treatment Replicate Date Longest_leaf n_Leaves Biomass Shoot_biomass Root_biomass Root.shoot_ratio Experience Stage Exp_Pop
LNFK E C 1 2012-04-30 16 33 0.55 0.18 0.37 2.05555555555556 E Seedling E.LNFK
LNFK E C 2 2012-04-30 9.5 5 0.107 0.029 0.078 2.68965517241379 E Seedling E.LNFK
LNFK E C 3 2012-04-30 17 30 0.778 0.225 0.553 2.45777777777778 E Seedling E.LNFK
LNFK E C 4 2012-04-30 15 32 1.26 0.185 1.075 5.81081081081081 E Seedling E.LNFK
LNFK E C 5 2012-04-30 12 35 2.052 0.207 1.845 8.91304347826087 E Seedling E.LNFK
LNFK E T 1 2012-04-30 27 23 0.469 0.163 0.306 1.87730061349693 E Seedling E.LNFK
LNFK E T 2 2012-04-30 17 40 0.827 0.245 0.582 2.37551020408163 E Seedling E.LNFK
LNFK E T 3 2012-04-30 16 26 0.374 0.123 0.251 2.04065040650406 E Seedling E.LNFK
LNFK E T 4 2012-04-30 13 3 0.068 0.017 0.051 3 E Seedling E.LNFK
LNFK E T 5 2012-04-30 13.5 14 0.247 0.05 0.197 3.94 E Seedling E.LNFK
MMK E C 1 2012-04-30 24 20 0.421 0.186 0.235 1.26344086021505 E Seedling E.MMK
MMK E C 2 2012-04-30 21.5 29 0.501 0.251 0.25 0.99601593625498 E Seedling E.MMK
MMK E C 3 2012-04-30 19 23 0.38 0.157 0.223 1.4203821656051 E Seedling E.MMK
MMK E C 4 2012-04-30 25 27 0.568 0.271 0.297 1.09594095940959 E Seedling E.MMK
MMK E C 5 2012-04-30 37 27 0.658 0.298 0.36 1.20805369127517 E Seedling E.MMK
MMK E T 1 2012-04-30 18 14 0.267 0.124 0.143 1.15322580645161 E Seedling E.MMK
MMK E T 2 2012-04-30 14 4 0.06 0.014 0.046 3.28571428571429 E Seedling E.MMK
MMK E T 3 2012-04-30 23 13 0.448 0.163 0.285 1.74846625766871 E Seedling E.MMK
MMK E T 4 2012-04-30 22 23 0.655 0.194 0.461 2.37628865979381 E Seedling E.MMK
MMK E T 5 2012-04-30 23 15 0.304 0.093 0.211 2.26881720430108 E Seedling E.MMK
MMP N C 1 2012-04-30 15 5 0.064 0.011 0.053 4.81818181818182 N Seedling N.MMP
MMP N C 2 2012-04-30 23 17 0.806 0.185 0.621 3.35675675675676 N Seedling N.MMP
MMP N C 3 2012-04-30 22 28 0.725 0.256 0.469 1.83203125 N Seedling N.MMP
MMP N C 4 2012-04-30 20.5 18 0.49 0.159 0.331 2.08176100628931 N Seedling N.MMP
MMP N C 5 2012-04-30 26.5 24 1.065 0.261 0.804 3.08045977011494 N Seedling N.MMP
MMP N T 1 2012-04-30 16 13 0.324 0.106 0.218 2.05660377358491 N Seedling N.MMP
MMP N T 2 2012-04-30 17 13 0.302 0.136 0.166 1.22058823529412 N Seedling N.MMP
MMP N T 3 2012-04-30 17.5 12 0.236 0.085 0.151 1.77647058823529 N Seedling N.MMP
MMP N T 4 2012-04-30 21 NA 0.374 0.111 0.263 2.36936936936937 N Seedling N.MMP
MMP N T 5 2012-04-30 16 3 0.044 0.014 0.03 2.14285714285714 N Seedling N.MMP
HP N C 1 2012-04-30 24 17 0.219 0.075 0.144 1.92 N Seedling N.HP
HP N C 2 2012-04-30 29 19 0.348 0.173 0.175 1.01156069364162 N Seedling N.HP
HP N C 3 2012-04-30 17 20 0.202 0.078 0.124 1.58974358974359 N Seedling N.HP
HP N C 4 2012-04-30 20 33 0.542 0.207 0.335 1.61835748792271 N Seedling N.HP
HP N C 5 2012-04-30 17 18 0.332 0.109 0.223 2.04587155963303 N Seedling N.HP
HP N T 1 2012-04-30 14.5 36 0.605 0.229 0.376 1.64192139737991 N Seedling N.HP
HP N T 2 2012-04-30 22 17 0.408 0.11 0.298 2.70909090909091 N Seedling N.HP
HP N T 3 2012-04-30 26 17 0.394 0.16 0.234 1.4625 N Seedling N.HP
HP N T 4 2012-04-30 24.5 20 0.645 0.179 0.466 2.60335195530726 N Seedling N.HP
HP N T 5 2012-04-30 15.5 8 0.086 0.059 0.027 0.457627118644068 N Seedling N.HP
LHP N C 1 2012-04-30 17.5 15 0.47 0.076 0.394 5.18421052631579 N Seedling N.LHP
LHP N C 2 2012-04-30 19 18 0.354 0.094 0.26 2.76595744680851 N Seedling N.LHP
LHP N C 3 2012-04-30 25.5 38 0.908 0.335 0.573 1.71044776119403 N Seedling N.LHP
LHP N C 4 2012-04-30 14 26 0.312 0.124 0.188 1.51612903225806 N Seedling N.LHP
LHP N C 5 2012-04-30 17 28 0.336 0.127 0.209 1.64566929133858 N Seedling N.LHP
LHP N T 1 2012-04-30 8 12 0.277 0.071 0.206 2.90140845070423 N Seedling N.LHP
LHP N T 2 2012-04-30 14.5 21 0.453 0.122 0.331 2.71311475409836 N Seedling N.LHP
LHP N T 3 2012-04-30 15 14 0.57 0.106 0.464 4.37735849056604 N Seedling N.LHP
LHP N T 4 2012-04-30 13 15 0.206 0.12 0.086 0.716666666666667 N Seedling N.LHP
LHP N T 5 2012-04-30 17 11 0.463 0.102 0.361 3.53921568627451 N Seedling N.LHP
MJP N C 1 2012-04-30 16.5 11 0.097 0.042 0.055 1.30952380952381 N Seedling N.MJP
MJP N C 2 2012-04-30 27 24 0.639 0.182 0.457 2.51098901098901 N Seedling N.MJP
MJP N C 3 2012-04-30 23 28 0.691 0.158 0.533 3.37341772151899 N Seedling N.MJP
MJP N C 4 2012-04-30 24 18 0.535 0.156 0.379 2.42948717948718 N Seedling N.MJP
MJP N C 5 2012-04-30 23 27 0.864 0.194 0.67 3.45360824742268 N Seedling N.MJP
MJP N T 1 2012-04-30 18 17 0.785 0.121 0.664 5.48760330578512 N Seedling N.MJP
MJP N T 2 2012-04-30 26 20 0.551 0.154 0.397 2.57792207792208 N Seedling N.MJP
MJP N T 3 2012-04-30 19 22 0.269 0.067 0.202 3.01492537313433 N Seedling N.MJP
MJP N T 4 2012-04-30 22 18 0.529 0.15 0.379 2.52666666666667 N Seedling N.MJP
MJP N T 5 2012-04-30 15 21 0.491 0.125 0.366 2.928 N Seedling N.MJP
MCLP N C 1 2012-04-30 17 24 0.407 0.126 0.281 2.23015873015873 N Seedling N.MCLP
MCLP N C 2 2012-04-30 16 17 0.402 0.125 0.277 2.216 N Seedling N.MCLP
MCLP N C 3 2012-04-30 14.5 26 0.157 0.089 0.068 0.764044943820225 N Seedling N.MCLP
MCLP N C 4 2012-04-30 20 16 0.273 0.108 0.165 1.52777777777778 N Seedling N.MCLP
MCLP N C 5 2012-04-30 21 25 0.482 0.124 0.358 2.88709677419355 N Seedling N.MCLP
MCLP N T 1 2012-04-30 16 23 0.302 0.064 0.238 3.71875 N Seedling N.MCLP
MCLP N T 2 2012-04-30 20.5 20 0.418 0.158 0.26 1.64556962025316 N Seedling N.MCLP
MCLP N T 3 2012-04-30 19 25 0.581 0.14 0.441 3.15 N Seedling N.MCLP
MCLP N T 4 2012-04-30 NA NA NA NA NA NA N Seedling N.MCLP
MCLP N T 5 2012-04-30 NA NA NA NA NA NA N Seedling N.MCLP
MCLK E C 1 2012-04-30 15 24 0.505 0.183 0.322 1.75956284153005 E Seedling E.MCLK
MCLK E C 2 2012-04-30 23.5 23 0.484 0.122 0.362 2.9672131147541 E Seedling E.MCLK
MCLK E C 3 2012-04-30 15.5 36 0.468 0.127 0.341 2.68503937007874 E Seedling E.MCLK
MCLK E C 4 2012-04-30 17 35 0.358 0.165 0.193 1.16969696969697 E Seedling E.MCLK
MCLK E C 5 2012-04-30 18 24 0.284 0.109 0.175 1.60550458715596 E Seedling E.MCLK
MCLK E T 1 2012-04-30 21.5 12 0.267 0.089 0.178 2 E Seedling E.MCLK
MCLK E T 2 2012-04-30 14 18 0.74 0.42 0.32 0.761904761904762 E Seedling E.MCLK
MCLK E T 3 2012-04-30 19 22 0.341 0.118 0.223 1.88983050847458 E Seedling E.MCLK
MCLK E T 4 2012-04-30 16.5 17 0.424 0.139 0.285 2.05035971223022 E Seedling E.MCLK
MCLK E T 5 2012-04-30 11 10 0.514 0.098 0.416 4.24489795918367 E Seedling E.MCLK
PTK E C 1 2012-04-30 20 24 0.383 0.131 0.252 1.9236641221374 E Seedling E.PTK
PTK E C 2 2012-04-30 9 13 0.137 0.047 0.09 1.91489361702128 E Seedling E.PTK
PTK E C 3 2012-04-30 34 22 0.507 0.198 0.309 1.56060606060606 E Seedling E.PTK
PTK E C 4 2012-04-30 19 29 0.611 0.16 0.451 2.81875 E Seedling E.PTK
PTK E C 5 2012-04-30 21.5 27 0.766 0.221 0.545 2.46606334841629 E Seedling E.PTK
PTK E T 1 2012-04-30 18 26 0.965 0.22 0.745 3.38636363636364 E Seedling E.PTK
PTK E T 2 2012-04-30 19 25 0.988 0.284 0.704 2.47887323943662 E Seedling E.PTK
PTK E T 3 2012-04-30 20 26 1.176 0.206 0.97 4.70873786407767 E Seedling E.PTK
PTK E T 4 2012-04-30 NA NA NA NA NA NA E Seedling E.PTK
PTK E T 5 2012-04-30 NA NA NA NA NA NA E Seedling E.PTK
LHK E C 1 2012-04-30 18.5 17 0.229 0.086 0.143 1.66279069767442 E Seedling E.LHK
LHK E C 2 2012-04-30 22 20 0.277 0.105 0.172 1.63809523809524 E Seedling E.LHK
LHK E C 3 2012-04-30 23.5 26 0.952 0.283 0.669 2.36395759717315 E Seedling E.LHK
LHK E C 4 2012-04-30 33 15 0.66 0.174 0.486 2.79310344827586 E Seedling E.LHK
LHK E C 5 2012-04-30 22 18 0.288 0.097 0.191 1.96907216494845 E Seedling E.LHK
LHK E T 1 2012-04-30 NA NA NA NA NA NA E Seedling E.LHK
LHK E T 2 2012-04-30 NA NA NA NA NA NA E Seedling E.LHK
LHK E T 3 2012-04-30 NA NA NA NA NA NA E Seedling E.LHK
LHK E T 4 2012-04-30 NA NA NA NA NA NA E Seedling E.LHK
LHK E T 5 2012-04-30 NA NA NA NA NA NA E Seedling E.LHK
PTP N C 1 2012-04-30 17.5 26 0.53 0.199 0.331 1.66331658291457 N Seedling N.PTP
PTP N C 2 2012-04-30 13 27 0.246 0.049 0.197 4.02040816326531 N Seedling N.PTP
PTP N C 3 2012-04-30 235.5 30 0.752 0.23 0.522 2.2695652173913 N Seedling N.PTP
PTP N C 4 2012-04-30 19.5 32 0.617 0.227 0.39 1.71806167400881 N Seedling N.PTP
