SITE,TREATMENT,MAP,MAT,SOLAR.INS,SOIL.PCT.N,LRR.C,LRR.N,LRR.P,LRR.K
bnch.us,FENCED,1647,5.5,7.412331457,0.6036,0.017002059,0.288617561,0.244265714,0.396980471
bnch.us,UNFENCED,1647,5.5,7.412331457,0.6036,0.518836609,0.658322857,0.783035927,0.813072855
burrawan.au,FENCED,683,18.4,9.01855728,0.093363636,0.344675893,0.521713141,0.446629403,0.164773179
burrawan.au,UNFENCED,683,18.4,9.01855728,0.093363636,-0.407624598,-0.114583753,-0.403287015,-0.053645667
cbgb.us,FENCED,855,9,7.671493333,0.089684466,0.345156389,0.601799784,0.268737482,0.726389081
cbgb.us,UNFENCED,855,9,7.671493333,0.089684466,0.067068573,0.407416485,0.213357919,0.614119176
cowi.ca,FENCED,764,9.8,6.9548,0.415823529,0.370447333,0.665098812,0.696582364,0.607427803
cowi.ca,UNFENCED,764,9.8,6.9548,0.415823529,0.120789418,0.153907236,0.331127392,0.034825927
gilb.za,FENCED,926,13.1,8.9072608,1.160677419,0.152693344,0.207899673,0.401250918,0.180970292
gilb.za,UNFENCED,926,13.1,8.9072608,1.160677419,0.266841325,0.579882716,0.857371643,0.645368144
hall.us,FENCED,1282,13.6,8.16152504,0.11875,-0.027564797,-0.038212072,0.24888205,0.38623606
hall.us,UNFENCED,1282,13.6,8.16152504,0.11875,0.857238945,1.021551079,1.179611253,1.482377056
hart.us,FENCED,272,7.4,7.5776255,0.113333333,1.735229811,1.723067256,1.863215613,1.753996095
hart.us,UNFENCED,272,7.4,7.5776255,0.113333333,1.096103735,1.024014279,1.039755241,1.103272646
kibber.in,FENCED,504,1.1,8.564421866,0.122369663,1.173619559,1.417896441,1.382864504,NA
kibber.in,UNFENCED,504,1.1,8.564421866,0.122369663,-0.195184664,-0.136387335,0.248457507,NA
lancaster.uk,FENCED,1322,8,6.321725035,1.231,0.395986984,0.52232474,NA,0.384558521
lancaster.uk,UNFENCED,1322,8,6.321725035,1.231,0.63401749,0.703577608,0.952630632,0.899195391
look.us,FENCED,1898,4.8,7.419482293,1.227863636,0.08264598,-0.081678391,0.158278718,-0.227983681
look.us,UNFENCED,1898,4.8,7.419482293,1.227863636,0.53680454,0.488793243,0.515281537,1.002380184
marc.ar,FENCED,838,13.9,8.188484,0.401633378,0.18969321,0.772235503,0.446182674,0.986658698
marc.ar,UNFENCED,838,13.9,8.188484,0.401633378,-0.30699852,0.142954894,-0.017405536,0.405779373
mtca.au,FENCED,330,17.3,8.70742896,0.08372715,0.992441545,1.011751246,1.568171536,1.19663145
mtca.au,UNFENCED,330,17.3,8.70742896,0.08372715,-0.131882496,0.505370033,0.054335128,0.166367783
sage.us,FENCED,882,5.7,7.9127,0.431653726,0.168834993,0.028731368,0.033128319,0.762611342
sage.us,UNFENCED,882,5.7,7.9127,0.431653726,0.938798288,1.11514254,1.046663622,1.158379048
sereng.tz,FENCED,854,22.1,10.01745497,0.466838589,0.548995598,0.621259892,0.566468914,0.60365675
sereng.tz,UNFENCED,854,22.1,10.01745497,0.466838589,0.05268478,0.036598608,-0.032858293,0.14335606
sgs.us,FENCED,365,8.4,7.768333,0.099166667,0.163853541,0.524534299,0.256026378,0.772584439
sgs.us,UNFENCED,365,8.4,7.768333,0.099166667,-0.047722765,0.297156277,0.194605618,0.381984445
shps.us,FENCED,262,5.5,7.4157011,0.214433333,0.885598823,1.062966142,0.838496468,0.955478384
shps.us,UNFENCED,262,5.5,7.4157011,0.214433333,-0.240597826,-0.228850112,-0.132054946,-0.429416525
spin.us,FENCED,1140,12.5,8.03777503,0.26025,-0.322912696,-0.27338806,-0.34677919,-0.079164133
spin.us,UNFENCED,1140,12.5,8.03777503,0.26025,-0.679467443,-0.781160525,-0.798567291,-0.599368839
summ.za,FENCED,939,18.2,8.8650712,0.450212555,NA,NA,NA,NA
summ.za,UNFENCED,939,18.2,8.8650712,0.450212555,0.020011061,0.122729376,0.167581933,0.369043613
ukul.za,FENCED,880,18.1,8.8764,0.321615385,NA,NA,NA,NA
ukul.za,UNFENCED,880,18.1,8.8764,0.321615385,-0.026082233,0.315626966,0.152435914,0.193924026
valm.ch,FENCED,1098,0.3,7.16055205,0.424966475,0.771176544,0.814584748,1.101823898,0.99112183
valm.ch,UNFENCED,1098,0.3,7.16055205,0.424966475,-0.135365053,0.007075846,0.145248401,0.23003164
