Treatment,Mom.Squirrel.ID,Litter.Size,No.Male.Offspring,No.Female.Offspring,Scaled.Litter.Size
Rattle,42104211,3,1,2,-0.914159768
Rattle,42614260,3,2,1,-0.914159768
Rattle,42674268,3,2,1,-0.914159768
Rattle,42734274,4,2,2,0.095224976
Rattle,D0403F1810,3,1,2,-0.914159768
Food,D6499D8600,4,0,4,0.095224976
Food,D6631D6691,4,3,1,0.095224976
Food,D7806D7807,4,2,2,0.095224976
Control,D8428D6795,3,2,1,-0.914159768
Food,D8815D8816,6,3,3,2.113994464
Food,D8848D9285,4,2,2,0.095224976
Rattle,D8880D8881,4,2,2,0.095224976
Food,D8907D8908,5,1,4,1.10460972
Rattle,D9118D9119,4,2,2,0.095224976
Food,D9562D9563,3,2,1,-0.914159768
Control,D9987D9988,4,1,3,0.095224976
Control,F0308F0309,4,2,2,0.095224976
Control,F0308F0309,4,2,2,0.095224976
Control,F0563F0564,4,2,2,0.095224976
Control,F0565F4756,2,1,1,-1.923544512
Rattle,F0687F0688,4,2,2,0.095224976
Control,F0730F0731,5,3,2,1.10460972
Food,F0868F0869,5,2,3,1.10460972
Food,F0951F0952,3,2,1,-0.914159768
Rattle,F1135F1136,5,2,3,1.10460972
Rattle,F1557F1558,4,4,0,0.095224976
Rattle,F1669F5592,4,2,2,0.095224976
Food,F1932F1933,3,2,1,-0.914159768
Food,F1975F0919,4,4,0,0.095224976
Food,F2124F2125,5,2,3,1.10460972
Food,F2650F0936,5,2,3,1.10460972
Food,F2849F0977,3,2,1,-0.914159768
Food,F2983F1801,4,3,1,0.095224976
Rattle,F3003F3004,5,4,1,1.10460972
Rattle,F3005F3006,4,2,2,0.095224976
Control,F3007F3008,3,1,2,-0.914159768
Control,F3012F1182,4,2,2,0.095224976
Rattle,F3052F3053,3,2,1,-0.914159768
Food,F3067F3068,4,2,2,0.095224976
Control,F3080D6952,4,1,3,0.095224976
Rattle,F3081F3082,4,3,1,0.095224976
Rattle,F3083F3084,4,2,2,0.095224976
Rattle,F3085F3086,3,1,2,-0.914159768
Food,F3101F3102,5,2,3,1.10460972
Rattle,F3125F3123,4,0,4,0.095224976
Food,F3357F3358,4,4,0,0.095224976
Control,F3409F3410,4,1,3,0.095224976
Rattle,F3484F3485,4,2,2,0.095224976
Food,F3531F3550,4,2,2,0.095224976
Food,F3584F3585,3,2,1,-0.914159768
Food,F3775F3860,4,4,0,0.095224976
Rattle,F3782F3783,4,2,2,0.095224976
Food,F3818F3819,1,1,0,-2.932929256
Control,F3842F3843,5,3,2,1.10460972
Rattle,F3868F3749,2,2,0,-1.923544512
Food,F3880F3881,4,3,1,0.095224976
Food,F3916F3917,4,3,1,0.095224976
Food,F3920F3921,2,0,2,-1.923544512
Food,F3949F3950,3,1,2,-0.914159768
Control,F3984F3985,4,3,1,0.095224976
Rattle,F4098F4099,4,0,4,0.095224976
Food,F4148F4149,2,0,2,-1.923544512
Control,F4361F2198,4,3,1,0.095224976
Control,F4401F4409,3,1,2,-0.914159768
Rattle,F4609F4608,3,2,1,-0.914159768
Food,F4701F2087,4,3,1,0.095224976
Food,F4755F2766,4,2,2,0.095224976
Rattle,F4769F4770,4,1,3,0.095224976
Food,F4943,5,4,1,1.10460972
Control,F5166F5167,4,1,3,0.095224976
Control,F5212F5213,4,2,2,0.095224976
Food,F5263F5264,3,2,1,-0.914159768
Control,F5336F5337,4,2,2,0.095224976
Rattle,F5417F5418,5,3,2,1.10460972
Rattle,F5580F5581,5,2,3,1.10460972
Rattle,F5590F5591,5,3,2,1.10460972
Rattle,F5660F5661,3,2,1,-0.914159768
Control,F5681F5682,5,2,3,1.10460972
Control,F56850,2,1,1,-1.923544512
Control,F5691F5690,5,3,2,1.10460972
Control,F5699F5700,2,0,2,-1.923544512
Rattle,F5727F5728,2,1,1,-1.923544512
Rattle,F5729F5730,3,3,0,-0.914159768
Rattle,F5737F5739,3,3,0,-0.914159768
Control,F5761F3002,4,1,3,0.095224976
Control,F5771F5772,6,5,1,2.113994464
Rattle,F5884F5885,5,3,2,1.10460972
Control,F5886F4083,5,1,4,1.10460972
Food,F5926F3577,3,2,1,-0.914159768
Control,F5928F5927,6,4,2,2.113994464
Rattle,F5952F5953,3,2,1,-0.914159768
Control,F6017F6018,6,1,5,2.113994464
Control,F6022F6023,3,0,3,-0.914159768
Rattle,F6028F6029,4,1,3,0.095224976
Rattle,F6032F6033,4,1,3,0.095224976
Food,J2157F1814,5,4,1,1.10460972
Control,J2465J2444,5,4,1,1.10460972
