Treatment,Squirrel.Taglft,Squirrel.Tagrt,FCM.ng.g.dry,scaled.days.postconception
Control,48428,46795,271.1981314,1.795220823
Control,D9648,D9649,1570.708666,0.077138395
Control,D9648,D9649,1938.402552,0.42075488
Control,F4401,F4409,4269.425733,-1.297327548
Control,D9987,D9988,1279.056669,-0.953711062
Control,D9987,D9988,2029.079994,-0.266478091
Control,F4401,F4409,1709.785547,0.077138395
Control,F4401,F4409,459.3998253,1.795220823
Control,102465,102444,756.4958043,-0.266478091
Control,F0308,F0309,1230.988248,-0.953711062
Control,F0308,F0309,2048.81143,-0.266478091
Control,F0308,F0309,1020.147297,0.764371366
Control,F4361,F2198,667.0742477,-1.297327548
Control,F0563,F0564,1232.869167,-1.297327548
Control,F4361,F2198,1374.011852,1.107987851
Control,F3007,F3008,1418.43515,-0.610094576
Control,F3007,F3008,234.8217785,0.764371366
Control,F2815,F2816,481.9568079,0.42075488
Control,F3984,F3985,1723.08386,-1.297327548
Control,60730,60731,369.1053597,-0.953711062
Control,F5336,F5337,3032.355545,-0.610094576
Control,F5166,F5167,847.0611632,-1.297327548
Control,63409,63410,741.6443877,0.077138395
Control,F5771,F5772,1173.273058,-0.266478091
Rattle,4261,4260,1395.31108,-0.610094576
Rattle,4261,4260,717.9949338,0.42075488
Rattle,4261,4260,534.033141,1.451604337
Rattle,F0687,F0688,4984.480758,-0.266478091
Rattle,F0687,F0688,2155.504923,0.42075488
Rattle,4267,4268,1579.15757,-0.953711062
Rattle,4267,4268,1011.326651,0.077138395
Rattle,4267,4268,1704.096035,1.795220823
Rattle,F3081,F3082,464.9982771,0.42075488
Rattle,F3081,F3082,1908.88126,1.451604337
Rattle,F6028,F6029,943.1040125,1.795220823
Rattle,F5737,F5739,1405.053763,1.451604337
Rattle,F3005,F3006,4889.470944,-0.266478091
Rattle,F4609,F4608,1249.788574,0.764371366
Rattle,F5660,F5661,1255.012026,-1.297327548
Rattle,F1669,F5592,1096.781492,-0.610094576
Rattle,F4098,F4099,1121.673275,1.795220823
Rattle,D6403,F1810,1956.852699,-0.610094576
Rattle,F1557,F1558,1975.851107,-0.953711062
Rattle,F3052,F3053,1572.555583,0.077138395
Rattle,F6032,F6033,1984.316443,-1.297327548
Rattle,F6032,F6033,732.6185073,0.077138395
Rattle,F3003,F3004,4333.482734,-0.953711062
Rattle,F3782,F3783,970.0174307,-0.953711062
Rattle,F3085,F3086,1258.992365,1.107987851
