Aquarium_ID,Food_Ratio,Pike_presence,distance from the partitioning,distance from the bottom,tot_dist_swimming,time_measured(start or end of experiment)
1,05_low,y,25,10.76923077,50,start
1,05_low,y,24.61538462,10,51.18033989,start
1,05_low,y,23.84615385,15.38461538,27.07106781,start
1,05_low,y,24.61538462,16.15384615,20,start
2,10_medium,y,21.15384615,20,35,start
2,10_medium,y,18.07692308,20,35,start
3,10_medium,y,20.76923077,19.61538462,46.18033989,start
3,10_medium,y,22.69230769,20,30,start
3,10_medium,y,23.07692308,20,20,start
3,10_medium,y,25,20,0,start
4,10_medium,n,19.61538462,18.07692308,67.68315529,start
4,10_medium,n,15,15,40,start
7,10_medium,n,20.38461538,16.92307692,35,start
7,10_medium,n,21.92307692,18.46153846,29.14213562,start
7,10_medium,n,25,18.46153846,35,start
8,10_medium,y,25,20,0,start
8,10_medium,y,25,20,0,start
8,10_medium,y,25,20,0,start
9,05_low,y,11.15384615,15.38461538,39.14213562,start
9,05_low,y,15,16.92307692,32.07106781,start
9,05_low,y,15.38461538,15.76923077,43.2514077,start
11,15_high,y,20,20,0,start
11,15_high,y,23.84615385,20,15,start
11,15_high,y,24.61538462,19.61538462,12.07106781,start
11,15_high,y,25,18.46153846,20,start
14,05_low,n,14.61538462,16.15384615,20,start
14,05_low,n,18.84615385,16.15384615,30,start
14,05_low,n,20,16.92307692,35,start
15,10_medium,n,23.84615385,19.61538462,32.07106781,start
15,10_medium,n,23.07692308,19.61538462,30,start
15,10_medium,n,24.61538462,18.46153846,35,start
16,15_high,y,23.84615385,19.61538462,22.07106781,start
16,15_high,y,24.23076923,18.46153846,20,start
16,15_high,y,25,20,0,start
17,05_low,y,18.84615385,19.23076923,37.07106781,start
17,05_low,y,19.61538462,19.61538462,27.07106781,start
18,05_low,n,5,20,0,start
18,05_low,n,14.61538462,20,25,start
18,05_low,n,18.46153846,20,50,start
20,10_medium,y,21.15384615,20,25,start
20,10_medium,y,25,20,0,start
22,05_low,y,20,15,0,start
22,05_low,y,25,10,0,start
23,05_low,y,19.61538462,18.07692308,27.42640687,start
23,05_low,y,21.92307692,17.69230769,32.07106781,start
23,05_low,y,24.23076923,18.84615385,21.21320344,start
24,05_low,n,16.15384615,11.92307692,67.39354332,start
24,05_low,n,18.07692308,12.30769231,54.14213562,start
24,05_low,n,14.23076923,8.461538462,97.93480423,start
25,15_high,y,18.84615385,16.92307692,29.43174759,start
25,15_high,y,25,13.46153846,25,start
26,15_high,n,11.92307692,16.15384615,27.07106781,start
26,15_high,n,16.53846154,15.76923077,35.32247551,start
26,15_high,n,14.23076923,11.15384615,15,start
27,05_low,n,18.84615385,16.92307692,43.2514077,start
27,05_low,n,20,18.84615385,24.14213562,start
27,05_low,n,20.38461538,15.38461538,20,start
28,15_high,n,10.38461538,8.846153846,50.32247551,start
28,15_high,n,9.230769231,12.69230769,54.14213562,start
28,15_high,n,11.92307692,11.53846154,69.46461113,start
29,05_low,n,13.07692308,18.84615385,39.14213562,start
29,05_low,n,14.23076923,17.30769231,26.18033989,start
29,05_low,n,14.61538462,17.30769231,55.35533906,start
30,15_high,y,24.61538462,20,5,start
30,15_high,y,24.23076923,20,10,start
31,05_low,y,25,20,0,start
31,05_low,y,25,20,0,start
32,15_high,y,21.53846154,17.69230769,25.32247551,start
