photo_id,sort_ID,Aquarium_ID,Diet,Ratio,Pike,treatment_nr,number,Perch_ID,Weight,Length,Intestine,Sex
pred_growth_final_001,1,1,Chironomids,05_low,y,2,1,1.1,5.5,93,42,M
pred_growth_final_002,1,1,Chironomids,05_low,y,2,2,1.2,4.2,85,44,M
pred_growth_final_003,1,1,Chironomids,05_low,y,2,3,1.3,5.4,97,42,M
pred_growth_final_004,2,2,Chironomids,10_medium,y,4,4,2.1,4.9,85,44,F
pred_growth_final_005,2,2,Chironomids,10_medium,y,4,5,2.2,7.1,98,49,M
pred_growth_final_006,3,3,Chironomids,10_medium,y,4,6,3.1,7.7,99,43,M
pred_growth_final_007,3,3,Chironomids,10_medium,y,4,7,3.2,7.2,99,49,F
pred_growth_final_008,3,3,Chironomids,10_medium,y,4,8,3.3,7,96,43,M
pred_growth_final_009,4,4,Chironomids,10_medium,n,3,9,4.1,4.6,74,40,M
pred_growth_final_010,4,4,Chironomids,10_medium,n,3,10,4.2,5,73,42,M
pred_growth_final_014,5,7,Chironomids,10_medium,n,3,11,7.1,6.5,91,46,F
pred_growth_final_015,5,7,Chironomids,10_medium,n,3,12,7.2,6.1,89,49,F
pred_growth_final_016,5,7,Chironomids,10_medium,n,3,13,7.3,4.8,86,41,NA
pred_growth_final_017,6,8,Chironomids,10_medium,y,4,14,8.1,4.9,86,44,F
pred_growth_final_018,6,8,Chironomids,10_medium,y,4,15,8.2,4.4,83,46,F
pred_growth_final_019,7,9,Chironomids,05_low,y,2,16,9.1,5,90,43,M
pred_growth_final_020,7,9,Chironomids,05_low,y,2,17,9.2,6.7,96,36,M
pred_growth_final_021,7,9,Chironomids,05_low,y,2,18,9.3,4.5,86,41,M
pred_growth_final_024,8,11,Chironomids,15_high,y,6,19,11.1,8.4,103,51,M
pred_growth_final_025,8,11,Chironomids,15_high,y,6,20,11.2,6.1,88,51,F
pred_growth_final_030,9,14,Chironomids,05_low,n,1,21,14,5.1,92,51,F
pred_growth_final_031,10,15,Chironomids,10_medium,n,3,22,15.1,5.4,88,57,M
pred_growth_final_032,10,15,Chironomids,10_medium,n,3,23,15.2,7.4,98,59,F
pred_growth_final_033,10,15,Chironomids,10_medium,n,3,24,15.3,6.2,91,47,F
pred_growth_final_034,11,16,Chironomids,15_high,y,6,25,16.1,4.1,82,46,F
pred_growth_final_035,11,16,Chironomids,15_high,y,6,26,16.2,7.8,100,56,F
pred_growth_final_036,11,16,Chironomids,15_high,y,6,27,16.3,6.7,95,51,M
pred_growth_final_037,12,17,Chironomids,05_low,y,2,28,17.1,2.8,72,36,F
pred_growth_final_038,12,17,Chironomids,05_low,y,2,29,17.2,3.8,87,45,F
pred_growth_final_039,13,18,Chironomids,05_low,n,1,30,18.1,5.2,96,43,M
pred_growth_final_040,13,18,Chironomids,05_low,n,1,31,18.2,4,83,39,M
pred_growth_final_043,14,20,Chironomids,10_medium,y,4,32,20.1,5.5,88,50,F
pred_growth_final_044,14,20,Chironomids,10_medium,y,4,33,20.2,3.6,79,35,F
