no.;ctmax;dev.temp;ad.temp;dev.treat;ad.treat;observer
1;40.17;19;19;const;fluct;paul
2;40.53;19;19;const;fluct;paul
3;40.2;19;19;const;fluct;paul
4;40.34;19;19;const;fluct;jesper
5;39.83;19;19;const;fluct;jesper
6;40.75;19;19;const;fluct;jesper
7;40.39;19;19;const;fluct;jesper
8;39.7;19;19;const;fluct;paul
9;40.41;19;19;const;fluct;paul
10;40.64;19;19;const;fluct;jesper
11;40.24;19;19;const;fluct;paul
12;39.65;19;19;const;fluct;jesper
13;40.19;19;19;const;fluct;paul
14;39.94;19;19;const;fluct;jesper
15;40.8;19;19;const;fluct;jesper
16;40.71;19;19;const;fluct;jesper
17;40.21;19;19;const;fluct;jesper
18;39.77;19;19;const;fluct;paul
19;40.18;19;19;const;fluct;paul
20;40.75;19;19;const;fluct;paul
21;40.07;19;19;fluct;const;paul
22;40.57;19;19;fluct;const;jesper
23;39.8;19;19;fluct;const;jesper
24;40.43;19;19;fluct;const;jesper
25;40.64;19;19;fluct;const;paul
26;40.44;19;19;fluct;const;paul
27;40.12;19;19;fluct;const;paul
28;39.83;19;19;fluct;const;paul
29;40.57;19;19;fluct;const;paul
30;40.12;19;19;fluct;const;jesper
31;40.35;19;19;fluct;const;paul
32;40.14;19;19;fluct;const;jesper
33;40.69;19;19;fluct;const;paul
34;39.97;19;19;fluct;const;paul
35;40;19;19;fluct;const;paul
36;39.88;19;19;fluct;const;paul
37;40.41;19;19;fluct;const;jesper
39;40.31;19;19;fluct;const;jesper
40;40.55;19;19;fluct;const;jesper
41;40.37;19;19;fluct;fluct;paul
42;40.2;19;19;fluct;fluct;paul
43;40.26;19;19;fluct;fluct;paul
44;40.7;19;19;fluct;fluct;paul
45;40.19;19;19;fluct;fluct;jesper
46;40.51;19;19;fluct;fluct;jesper
47;40.68;19;19;fluct;fluct;paul
48;40.68;19;19;fluct;fluct;paul
49;40.47;19;19;fluct;fluct;paul
50;40.3;19;19;fluct;fluct;paul
51;40.05;19;19;fluct;fluct;jesper
52;40.68;19;19;fluct;fluct;jesper
53;40.36;19;19;fluct;fluct;jesper
54;40.42;19;19;fluct;fluct;paul
55;40.27;19;19;fluct;fluct;jesper
56;40.42;19;19;fluct;fluct;jesper
57;39.76;19;19;fluct;fluct;jesper
59;40.28;19;19;fluct;fluct;jesper
60;40.4;19;19;fluct;fluct;jesper
61;40.6;19;19;const;const;paul
62;40.21;19;19;const;const;paul
63;40.27;19;19;const;const;jesper
64;40.48;19;19;const;const;jesper
65;40.57;19;19;const;const;jesper
66;39.98;19;19;const;const;paul
67;40.07;19;19;const;const;jesper
68;39.85;19;19;const;const;jesper
69;40.54;19;19;const;const;jesper
70;40.03;19;19;const;const;paul
71;39.6;19;19;const;const;paul
72;40.28;19;19;const;const;paul
73;39.97;19;19;const;const;jesper
74;40.24;19;19;const;const;jesper
75;40.33;19;19;const;const;jesper
76;40.02;19;19;const;const;jesper
77;39.92;19;19;const;const;paul
78;40.41;19;19;const;const;paul
79;40.4;19;19;const;const;paul
80;40.5;19;19;const;const;paul
