no.,ctmin,dev.temp,ad.temp,dev.treat,ad.treat,observer
1,5.71,23,23,fluct,const,paul
2,5.41,23,23,fluct,const,paul
3,5.56,23,23,fluct,const,paul
4,6.31,23,23,fluct,const,paul
5,6.12,23,23,fluct,const,paul
6,5.3,23,23,fluct,const,paul
7,6.05,23,23,fluct,const,paul
8,5.94,23,23,fluct,const,paul
9,6.07,23,23,fluct,const,paul
10,6.22,23,23,fluct,const,paul
11,5.21,23,23,const,const,paul
13,5.43,23,23,const,const,paul
14,5.66,23,23,const,const,paul
15,4.42,23,23,const,const,paul
16,5.97,23,23,const,const,paul
17,5.35,23,23,const,const,paul
18,5.28,23,23,const,const,paul
19,5.56,23,23,const,const,paul
20,5.31,23,23,const,const,paul
21,5.25,23,23,const,fluct,paul
22,5.16,23,23,const,fluct,paul
23,5.23,23,23,const,fluct,paul
24,5.41,23,23,const,fluct,paul
25,5.2,23,23,const,fluct,paul
26,5.59,23,23,const,fluct,paul
27,5.18,23,23,const,fluct,paul
28,5.22,23,23,const,fluct,paul
29,5.33,23,23,const,fluct,paul
30,5.39,23,23,const,fluct,paul
31,5.87,23,23,fluct,fluct,paul
32,6.14,23,23,fluct,fluct,paul
33,5.84,23,23,fluct,fluct,paul
34,5.4,23,23,fluct,fluct,paul
35,5.92,23,23,fluct,fluct,paul
36,6.18,23,23,fluct,fluct,paul
37,6.34,23,23,fluct,fluct,paul
38,5.54,23,23,fluct,fluct,paul
39,6.02,23,23,fluct,fluct,paul
40,5.79,23,23,fluct,fluct,paul
