no.;ctmin;dev.temp;ad.temp;dev.treat;ad.treat;observer
1;5.44;23;23;const;const;paul
2;5.53;23;23;const;const;paul
3;6.07;23;23;const;const;paul
5;5.9;23;23;const;const;paul
6;5.8;23;23;const;const;paul
7;5.64;23;23;const;const;paul
8;5.87;23;23;const;const;paul
9;5.53;23;23;const;const;paul
10;5.62;23;23;const;const;paul
11;4.02;23;19;const;const;paul
12;4.7;23;19;const;const;paul
13;4.52;23;19;const;const;paul
14;4.9;23;19;const;const;paul
15;4.39;23;19;const;const;paul
16;5.57;23;19;const;const;paul
17;4.79;23;19;const;const;paul
18;5.11;23;19;const;const;paul
19;5.04;23;19;const;const;paul
20;4.15;23;19;const;const;paul
21;5.75;23;23;fluct;fluct;paul
22;4.95;23;23;fluct;fluct;paul
23;5.42;23;23;fluct;fluct;paul
24;5.71;23;23;fluct;fluct;paul
25;5.34;23;23;fluct;fluct;paul
26;5.26;23;23;fluct;fluct;paul
27;5.47;23;23;fluct;fluct;paul
28;5.37;23;23;fluct;fluct;paul
29;6;23;23;fluct;fluct;paul
30;5.47;23;23;fluct;fluct;paul
31;4.7;23;19;fluct;fluct;paul
32;4.41;23;19;fluct;fluct;paul
33;4.88;23;19;fluct;fluct;paul
34;4.97;23;19;fluct;fluct;paul
35;4.13;23;19;fluct;fluct;paul
36;4.95;23;19;fluct;fluct;paul
37;4.15;23;19;fluct;fluct;paul
38;4.2;23;19;fluct;fluct;paul
39;4.75;23;19;fluct;fluct;paul
40;5.36;23;19;fluct;fluct;paul
41;5.79;23;23;const;const;paul
42;5.71;23;23;const;const;paul
43;5.66;23;23;const;const;paul
44;5.69;23;23;const;const;paul
45;6.59;23;23;const;const;paul
46;6.08;23;23;const;const;paul
47;6.03;23;23;const;const;paul
48;5.75;23;23;const;const;paul
49;5.57;23;23;const;const;paul
50;5.27;23;23;const;const;paul
51;4.6;23;19;const;const;paul
52;5.14;23;19;const;const;paul
53;4.55;23;19;const;const;paul
54;4.95;23;19;const;const;paul
55;4.82;23;19;const;const;paul
56;5.35;23;19;const;const;paul
57;4.73;23;19;const;const;paul
58;4.82;23;19;const;const;paul
59;4.5;23;19;const;const;paul
60;4.95;23;19;const;const;paul
62;5.07;23;23;fluct;fluct;paul
63;5.46;23;23;fluct;fluct;paul
64;5.31;23;23;fluct;fluct;paul
65;5.83;23;23;fluct;fluct;paul
66;6.46;23;23;fluct;fluct;paul
67;5.27;23;23;fluct;fluct;paul
68;5.49;23;23;fluct;fluct;paul
69;6.29;23;23;fluct;fluct;paul
70;5.38;23;23;fluct;fluct;paul
71;4.43;23;19;fluct;fluct;paul
72;4.45;23;19;fluct;fluct;paul
73;4.45;23;19;fluct;fluct;paul
74;4.43;23;19;fluct;fluct;paul
76;4.47;23;19;fluct;fluct;paul
76;4.46;23;19;fluct;fluct;paul
77;5.07;23;19;fluct;fluct;paul
78;4.45;23;19;fluct;fluct;paul
79;4.45;23;19;fluct;fluct;paul
80;4.46;23;19;fluct;fluct;paul
