Ctmin,Ctmax,habitat type
19.9,40.2,LLP
21.6,39.2,LLP
18.4,40.4,LLP
17.6,42.4,LLP
19.7,41.9,LLP
19.1,40.4,LLP
21.2,40.6,LLP
20.4,41.4,LLP
20,41.2,LLP
20.6,40.5,LLP
20.6,41.4,SPS
20.2,43.6,SPS
22.8,40.2,SPS
21.2,40.2,SPS
22.4,41.8,SPS
20,42.4,SPS
18.1,42.4,SPS
20.2,39.8,SPS
18,40.4,SPS
21.5,41.4,SPS
18.6,41.5,SPS
20.2,42.4,SPS
19.4,40,SPS
20.5,41.2,SPS
18.2,40.5,SPS
19.2,40.8,SPS
19,40,SPS
17.2,41.2,LLP
19.2,40.4,LLP
20.2,40.2,LLP
18.4,41.2,LLP
17.8,39.6,LLP
20.2,41.4,LLP
17.5,40.1,LLP
19.2,40.2,LLP
