site,habitat type,date,lizard id,Tb,equation #,Topt,Pmax,0.8*Pmax,B80_low,B80_high,B80,AUC,Thermal window
Kerr,LLP,5/5/16,JLO4,33.9,8178,39.4,1.0565,0.8452,36.7,39.8,3.1,10.595,20.3
Kerr,LLP,5/5/16,313,,8174,39.3,0.7154,0.57232,38.1,39.5,1.4,5.881,17.6
Kerr,LLP,5/5/16,jlo18,33.5,8174,39.4,1.5759,1.26072,39,39.4,0.4,9.3665,22
Kerr,LLP,5/5/16,lm19,33.5,8166,39.9,0.7239,0.57912,32.6,41,8.4,10.901,24.8
Kerr,LLP,5/5/16,uo5,35.7,8164,38.6,0.7377,0.59016,35.2,39.5,4.3,8.8961,22.2
Kerr,LLP,5/15/16,jlo11,36.7,8164,39.2,1.3441,1.07528,36.6,39.5,2.9,13.355,21.3
Salt Springs,LLP,5/15/16,L17,30.6,8166,38.9,1.606,1.2848,33.3,39.6,6.3,18.535,19.4
Kerr,LLP,5/15/16,U11,,8042,39.3,1.0619,0.84952,36.2,39.5,3.3,,
Kerr,LLP,5/15/16,U20,35.4,8166,38.4,0.9058,0.72464,32.4,39.6,7.2,11.7914,21
Kerr,LLP,5/15/16,UO4,34.2,8166,39.3,1.19437,0.955496,32.3,40.1,7.8,16.4385,21.2
Salt Springs,LLP,5/15/16,UO9,36.4,8178,39,1.11667,0.893336,36.5,39.6,3.1,10.6908,19.9
Salt Springs,LLP,5/15/16,L35,36.8,8059,38.8,0.92219,0.737752,34.7,39.7,5,9.91306,20.3
Kerr,LLP,5/15/16,a21,,8042,39.8,1.1663,0.93304,37.9,39.9,2,,
Salt Springs,LLP,5/29/16,313,,8174,39.9,2.1042,1.68336,39.6,39.9,0.3,5.1466,15.7
Kerr,LLP,5/29/16,a25,,8056,39.4,1.2317,0.98536,33,39.5,6.5,13.751879,17.2
9W,SPS,5/5/16,a26,36.4,8054,40.3,0.7408,0.59264,32.2,40.5,8.3,10.344,20.8
9W,SPS,5/5/16,a28,37,8042,41.4,1.3569,1.08552,39.2,41.8,2.6,12.3798,23.4
9W,SPS,5/15/16,a13,,8166,39.1,1.1355,0.9084,32.9,39.6,6.7,13.1139,17.4
9W,SPS,5/15/16,jlo15,,8178,38.9,1.2418,0.99344,36.3,39.4,3.1,11.8827,19
9W,SPS,5/15/16,LM17,,8042,40.5,1.5426,1.23408,37.8,40.8,3,15.213,19.4
5.4  SPS,SPS,5/15/16,LM25,33.1,8166,39.9,1.1867,0.94936,34,40.8,6.8,15.012711,22.4
5.4 SPS,SPS,5/15/16,LM28,35,8166,39.6,0.97777,0.782216,33,40.7,7.7,13.8677,24.3
9W,SPS,5/15/16,a10,,8061,35,0.9856,0.78848,29.7,39.9,10.2,11.683229,17.4
9W,SPS,5/29/16,a10,,8178,39.2,1.29499,1.035992,36.7,39.5,2.8,12.17,19.6
9W,SPS,5/29/16,a20,35.4,8174,39.3,1.832,1.4656,38.3,39.4,1.1,14.2035,22.4
9W,SPS,5/29/16,a24,36.2,8166,38.4,0.83586,0.668688,33.3,39.5,6.2,9.5732,19.9
9W,SPS,5/29/16,a30,,8174,39.3,1.465,1.172,38.5,39.5,1,8.9345,22.9
9W,SPS,5/29/16,jlo4,34.8,8042,40.7,1.3523,1.08184,38.1,41.4,3.3,13.7323,22.2
9W,SPS,5/29/16,lm10,,8042,40.3,0.83278,0.666224,37.9,40.5,2.6,7.6266,20.7
9W,SPS,5/29/16,lm22,35,8178,39,1.99889,1.599112,36.2,39.5,3.3,20.5611,22.3
5.4 SPS,SPS,5/29/16,lm29,,8166,38.3,1.7455,1.3964,33.6,39.3,5.7,19.323,21.6
9W,SPS,5/29/16,a23,,8178,39.1,1.5165,1.2132,35.8,39.5,3.7,17.26776,21
Salt Springs,LLP,7/16/16,312,36.2,8165,38.5,1.4528,1.16224,34.8,39.8,5,16.97,24
Kerr,LLP,7/16/16,313,35.9,8167,38.8,0.9029,0.72232,30.9,39.6,8.7,12.4901,21.2
Salt Springs,LLP,7/16/16,JLO18,35,8167,37.3,1.4646,1.17168,31.5,39,7.5,18.246,20
Salt Springs,LLP,7/16/16,L20,37.4,8175,38.94,2.307,1.8456,37.44,39.37,1.93,18.7333,22.8
Kerr,LLP,7/16/16,LM18,34.9,8179,38.5,1.0866,0.86928,35.6,39.4,3.8,11.1196,21.8
Salt Springs,LLP,7/16/16,LM29,36.7,8165,37.8,1.3825,1.106,33.4,39.7,6.3,17.66,21.2
Kerr,LLP,7/16/16,U18,32.1,8175,37.5,0.8407,0.67256,33.6,39.1,5.5,9.459,22.6
Salt Springs,LLP,7/16/16,UO3,36.8,8179,37.9,1.0438,0.83504,33.1,39.3,6.2,12.96444,21
Salt Springs,LLP,7/16/16,X31,36.4,8061,34.2,1.081,0.8648,31,37,6,10.968,17.2
OHV,LLP,8/1/16,311,36.9,8043,39,1.34732,1.077856,34.7,39.4,4.7,15.1803,20.4
5.4 SPS,SPS,8/1/16,312,34.8,8165,37.6,1.1691,0.93528,33.4,39.6,6.2,15.5614,25.4
OHV,LLP,8/1/16,A2,33.6,8043,37,1.2338,0.98704,32.3,39.1,6.8,16.801,24.6
Salt Springs,LLP,8/1/16,A3,34.4,8179,37.8,1.2302,0.98416,32.5,39.4,6.9,17.179,25.1
OHV,LLP,8/1/16,A4,32.2,8175,35.7,1.1265,0.9012,30.5,38.6,8.1,15.791,23.7
Salt Springs,LLP,8/1/16,A9,34.6,8043,37.5,1.1465,0.9172,34.3,38.8,4.5,12.202,22.6
Salt Springs,LLP,8/1/16,A10,34.3,8063,37.2,0.8617,0.68936,31.9,39.2,7.3,11.8518,23.8
Salt Springs,LLP,8/1/16,A21,,8165,37.3,1.3134,1.05072,34.2,38.7,4.5,14.609,23
5.4 SPS,SPS,8/1/16,JLO3,34.8,8165,39.9,1.074,0.8592,36,40.7,4.7,12.0938,19
Salt Springs,LLP,8/1/16,JLO11,36.7,8179,39,1.1279,0.90232,34.8,39.4,4.6,12.142,19
