date,site,habitat type,hour,number seen,Early/Midday
4/10/15,38,SPS,10,4,
4/10/15,38,SPS,11,2,M
4/11/15,Kerr,LLP,9,1,E
4/11/15,Kerr,LLP,10,5,
4/11/15,Kerr,LLP,11,5,M
5/14/15,9W,SPS,9,5,E
5/14/15,9W,SPS,10,2,
5/14/15,9W,SPS,11,2,M
5/14/15,Salt Springs,LLP,12,3,M
5/15/15,38,SPS,9,3,E
5/15/15,38,SPS,10,2,
5/15/15,Kerr,LLP,11,1,M
5/15/15,Kerr,LLP,12,5,M
5/16/15,38,SPS,9,3,E
5/27/15,Norwalk,LLP,8,0,E
5/27/15,Norwalk,LLP,9,3,E
5/27/15,9W,SPS,12,7,M
5/28/15,9W,SPS,9,3,E
5/28/15,9W,SPS,10,1,
5/28/15,9W,SPS,11,2,M
5/28/15,9W,SPS,12,3,M
5/29/15,38,SPS,8,5,E
5/29/15,38,SPS,9,4,E
5/29/15,Salt Springs,LLP,11,4,M
5/29/15,Salt Springs,LLP,12,4,M
5/29/15,Salt Springs,LLP,13,4,M
6/2/15,9W,SPS,9,2,E
6/2/15,9W,SPS,10,3,
6/2/15,Kerr,LLP,11,6,M
6/2/15,Kerr,LLP,12,5,M
6/2/15,Kerr,LLP,13,4,M
6/10/15,38,SPS,8,0,E
6/10/15,38,SPS,9,0,E
6/11/15,38,SPS,8,3,E
6/11/15,38,SPS,9,4,E
6/11/15,38,SPS,10,3,
6/11/15,Salt Springs,LLP,11,4,M
6/11/15,Salt Springs,LLP,12,6,M
6/12/15,Kerr,LLP,8,0,E
6/12/15,Kerr,LLP,9,5,E
6/12/15,Kerr,LLP,10,7,
7/1/15,OHV,LLP,8,2,E
7/1/15,OHV,LLP,9,3,E
6/30/15,38,SPS,8,3,E
6/30/15,38,SPS,9,1,E
6/30/15,Kerr,LLP,11,6,M
6/30/15,Kerr,LLP,12,8,M
7/1/15,9W,SPS,11,3,M
7/1/15,9W,SPS,12,2,M
7/1/15,9W,SPS,13,2,M
7/6/15,9W,SPS,8,5,E
7/6/15,9W,SPS,9,3,E
7/6/15,9W,SPS,10,3,
7/6/15,Kerr,LLP,11,6,M
7/6/15,Kerr,LLP,12,7,M
7/10/15,38,SPS,8,1,E
7/10/15,38,SPS,9,3,E
7/10/15,38,SPS,10,2,
7/10/15,Salt Springs,LLP,11,5,M
7/10/15,Salt Springs,LLP,12,2,M
7/21/15,9W,SPS,8,4,E
7/21/15,9W,SPS,9,2,E
7/21/15,9W,SPS,10,2,
7/21/15,Salt Springs,LLP,11,5,M
7/21/15,Salt Springs,LLP,12,5,M
7/21/15,Salt Springs,LLP,13,4,M
7/22/15,OHV,LLP,8,2,E
7/22/15,OHV,LLP,9,3,E
7/22/15,38,SPS,11,3,M
7/28/15,Swiss,SPS,9,2,E
7/28/15,Swiss,SPS,10,2,
7/28/15,Swiss,SPS,11,2,M
7/28/15,Swiss,SPS,12,2,M
7/27/15,Swiss,SPS,8,3,E
7/27/15,Swiss,SPS,9,3,E
7/27/15,Swiss,SPS,10,1,
7/27/15,Norwalk,LLP,11,3,M
7/27/15,Norwalk,LLP,12,3,M
8/4/15,Swiss,SPS,8,3,E
8/4/15,Swiss,SPS,9,3,E
8/4/15,Swiss,SPS,10,4,
4/22/16,38,SPS,13,2,M
4/22/16,Kerr,LLP,9,0,E
4/22/16,Kerr,LLP,10,4,
4/23/16,9W,SPS,10,5,
4/23/16,9W,SPS,11,3,M
4/23/16,9W,SPS,12,3,M
4/23/16,9W,SPS,13,5,M
5/7/16,Salt Springs,LLP,10,3,
5/7/16,Salt Springs,LLP,11,5,M
5/7/16,5/14 SPS,SPS,12,2,M
5/7/16,5/14 SPS,SPS,13,1,M
5/8/16,Kerr,LLP,10,1,
5/8/16,Kerr,LLP,11,3,M
5/8/16,Kerr,LLP,12,4,M
5/19/16,9W,SPS,8,4,E
5/19/16,9W,SPS,9,4,E
5/19/16,9W,SPS,10,4,
5/20/16,9W,SPS,9,5,E
5/20/16,9W,SPS,10,1,
5/20/16,Salt Springs,LLP,11,0,M
5/20/16,OHV,LLP,12,2,M
7/6/16,Kerr,LLP,8,3,E
7/6/16,Kerr,LLP,9,2,E
7/6/16,OHV,LLP,10,1,
7/6/16,Salt Springs,LLP,11,3,M
7/6/16,Salt Springs,LLP,12,3,M
7/6/16,Salt Springs,LLP,13,3,M
7/7/16,Kerr,LLP,8,2,E
7/7/16,Kerr,LLP,9,0,E
7/7/16,38,SPS,10,2,
7/7/16,9W,SPS,11,0,M
7/7/16,Salt Springs,LLP,12,2,M
7/20/16,14/9 SPS,SPS,8,5,E
7/20/16,14/9 SPS,SPS,9,5,E
7/20/16,14/9 SPS,SPS,10,1,
7/20/16,Salt Springs,LLP,11,2,M
7/20/16,Salt Springs,LLP,12,6,M
7/21/16,OHV,LLP,8,4,E
7/21/16,OHV,LLP,9,4,E
7/21/16,OHV,LLP,10,3,
7/21/16,9W,SPS,11,0,M
7/21/16,9W,SPS,12,1,M
