habitat,Ctmin,Ctmax,Topt,Pmax,B80,thermal window
LLP,19.9,40.2,39.4,1.0565,3.1,20.3
LLP,21.6,39.2,39.3,0.7154,1.4,17.6
LLP,18.4,40.4,39.4,1.5759,0.4,22
LLP,17.6,42.4,39.9,0.7239,8.4,24.8
LLP,19.7,41.9,38.6,0.7377,4.3,22.2
LLP,19.1,40.4,39.2,1.3441,2.9,21.3
LLP,21.2,40.6,38.9,1.606,6.3,19.4
LLP,20.4,41.4,38.4,0.9058,7.2,
LLP,20,41.2,39.3,1.19437,7.8,21
LLP,20.6,40.5,39,1.11667,3.1,21.2
SPS,20.6,41.4,40.3,0.7408,8.3,19.9
SPS,20.2,43.6,41.4,1.3569,2.6,20.3
SPS,22.8,40.2,39.1,1.1355,6.7,
SPS,21.2,40.2,38.9,1.2418,3.1,15.7
SPS,22.4,41.8,40.5,1.5426,3,17.2
SPS,20,42.4,39.9,1.1867,6.8,20.8
SPS,18.1,42.4,39.6,0.97777,7.7,23.4
SPS,20.2,39.8,39.2,1.29499,2.8,17.4
SPS,18,40.4,39.3,1.832,1.1,19
SPS,21.5,41.4,38.4,0.83586,6.2,19.4
SPS,18.6,41.5,39.3,1.465,1,22.4
SPS,20.2,42.4,40.7,1.3523,3.3,24.3
SPS,20.5,41.2,40.3,0.83278,2.6,19.6
SPS,18.2,40.5,39,1.99889,3.3,22.4
SPS,19.2,40.8,38.3,1.7455,5.7,19.9
SPS,19,40,39.1,1.5165,3.7,22.9
LLP,17.2,41.2,38.5,1.4528,5,22.2
LLP,19.2,40.4,38.8,0.9029,8.7,20.6
LLP,20.2,40.2,37.3,1.4646,7.5,20.7
LLP,17.8,39.6,38.5,1.0866,3.8,21.6
LLP,20.2,41.4,37.8,1.3825,6.3,21
LLP,17.5,40.1,37.5,0.8407,5.5,24
LLP,19.2,40.2,37.9,1.0438,6.2,21.2
LLP,22.2,39.4,34.2,1.081,6,20
LLP,19.2,39.6,39,1.34732,4.7,22.8
SPS,16.4,41.8,37.6,1.1691,6.2,21.8
LLP,16.5,41.1,37,1.2338,6.8,21.2
LLP,15.3,40.4,37.8,1.2302,6.9,22.6
LLP,16.8,40.5,35.7,1.1265,8.1,21
LLP,17.8,40.4,37.5,1.1465,4.5,17.2
LLP,16.8,40.6,37.2,0.8617,7.3,20.4
LLP,17.8,40.8,37.3,1.3134,4.5,25.4
SPS,22.4,41.4,39.9,1.074,4.7,24.6
LLP,20.6,39.6,39,1.1279,4.6,25.1
LLP,20.1,39.9,37.8,1.6614,6.4,23.7
SPS,16.2,41.6,37.4,1.35133,6.2,22.6
LLP,14.4,41.4,36.8,1.40889,5.6,23.8
SPS,20.8,41.4,39,1.23338,7.8,23
LLP,19.6,40.9,37.2,1.241,6.8,19
