"","Treatment","Site","Slope"
"6-C-7TR","Cage","Site_6","North"
"6-C-7BL","Cage","Site_6","North"
"6-C-11TR","Cage","Site_6","North"
"6-C-11BL","Cage","Site_6","North"
"6-C-14TL","Cage","Site_6","North"
"6-C-14BR","Cage","Site_6","North"
"6-C-15TL","Cage","Site_6","North"
"6-C-15BR","Cage","Site_6","North"
"6-S1TR","Shade","Site_6","North"
"6-S1BL","Shade","Site_6","North"
"6-S2TR","Shade","Site_6","North"
"6-S2BL","Shade","Site_6","North"
"6-O-2TL","Open","Site_6","North"
"6-O-2BR","Open","Site_6","North"
"6-O-4TL","Open","Site_6","North"
"6-O-4BR","Open","Site_6","North"
"6-O-7TR","Open","Site_6","North"
"6-O-7BL","Open","Site_6","North"
"6-O-14TL","Open","Site_6","North"
"6-O-14BR","Open","Site_6","North"
"5-C-2TR","Cage","Site_5","North"
"5-C-2BL","Cage","Site_5","North"
"5-C-8TR","Cage","Site_5","North"
"5-C-8BL","Cage","Site_5","North"
"5-C-9TL","Cage","Site_5","North"
"5-C-9BR","Cage","Site_5","North"
"5-C-10TL","Cage","Site_5","North"
"5-C-10BR","Cage","Site_5","North"
"5-S1TR","Shade","Site_5","North"
"5-S1BL","Shade","Site_5","North"
"5-S2TR","Shade","Site_5","North"
"5-S2BL","Shade","Site_5","North"
"5-O-4TR","Open","Site_5","North"
"5-O-4BL","Open","Site_5","North"
"5-O-7TR","Open","Site_5","North"
"5-O-7BL","Open","Site_5","North"
"5-O-8TL","Open","Site_5","North"
"5-O-8BR","Open","Site_5","North"
"5-O-16TR","Open","Site_5","North"
"5-O-16BL","Open","Site_5","North"
"4-C-3TR","Cage","Site_4","North"
"4-C-3BL","Cage","Site_4","North"
"4-C-7TR","Cage","Site_4","North"
"4-C-7BL","Cage","Site_4","North"
"4-C-8TL","Cage","Site_4","North"
"4-C-8BR","Cage","Site_4","North"
"4-C-15TL","Cage","Site_4","North"
"4-C-15BR","Cage","Site_4","North"
"4-S1TL","Shade","Site_4","North"
"4-S1BR","Shade","Site_4","North"
"4-S2TR","Shade","Site_4","North"
"4-S2BL","Shade","Site_4","North"
"4-O-6TL","Open","Site_4","North"
"4-O-6BR","Open","Site_4","North"
"4-O-8TL","Open","Site_4","North"
"4-O-8BR","Open","Site_4","North"
"4-O-9TL","Open","Site_4","North"
"4-O-9BR","Open","Site_4","North"
"4-O-16TL","Open","Site_4","North"
"4-O-16BR","Open","Site_4","North"
"3-C-4TL","Cage","Site_3","South"
"3-C-4BR","Cage","Site_3","South"
"3-C-9TL","Cage","Site_3","South"
"3-C-9BR","Cage","Site_3","South"
"3-C-10TL","Cage","Site_3","South"
"3-C-10BR","Cage","Site_3","South"
"3-C-13TL","Cage","Site_3","South"
"3-C-13BR","Cage","Site_3","South"
"3-S1TR","Shade","Site_3","South"
"3-S1BL","Shade","Site_3","South"
"3-S2TL","Shade","Site_3","South"
"3-S2BR","Shade","Site_3","South"
"3-O-4TL","Open","Site_3","South"
"3-O-4BR","Open","Site_3","South"
"3-O-6TR","Open","Site_3","South"
"3-O-6BL","Open","Site_3","South"
"3-O-9TR","Open","Site_3","South"
"3-O-9BL","Open","Site_3","South"
"3-O-14TR","Open","Site_3","South"
"3-O-14BL","Open","Site_3","South"
"2-C-5TL","Cage","Site_2","South"
"2-C-5BR","Cage","Site_2","South"
"2-C-10TR","Cage","Site_2","South"
"2-C-10BL","Cage","Site_2","South"
"2-C-11TL","Cage","Site_2","South"
"2-C-11BR","Cage","Site_2","South"
"2-C-14TR","Cage","Site_2","South"
"2-C-14BL","Cage","Site_2","South"
"2-S1TR","Shade","Site_2","South"
"2-S1BL","Shade","Site_2","South"
"2-S2TR","Shade","Site_2","South"
"2-S2BL","Shade","Site_2","South"
"2-O-4TL","Open","Site_2","South"
"2-O-4BR","Open","Site_2","South"
"2-O-8TL","Open","Site_2","South"
"2-O-8BR","Open","Site_2","South"
"2-O-13TR","Open","Site_2","South"
"2-O-13BL","Open","Site_2","South"
"2-O-16TL","Open","Site_2","South"
"2-O-16BR","Open","Site_2","South"
"1-C-2TR","Cage","Site_1","South"
"1-C-2BL","Cage","Site_1","South"
"1-C-4TL","Cage","Site_1","South"
"1-C-4BR","Cage","Site_1","South"
"1-C-9TR","Cage","Site_1","South"
"1-C-9BL","Cage","Site_1","South"
"1-C-10TL","Cage","Site_1","South"
"1-C-10BR","Cage","Site_1","South"
"1-S1TL","Shade","Site_1","South"
"1-S1BR","Shade","Site_1","South"
"1-S2TL","Shade","Site_1","South"
"1-S2BR","Shade","Site_1","South"
"1-O-1TL","Open","Site_1","South"
"1-O-1BR","Open","Site_1","South"
"1-O-3TL","Open","Site_1","South"
"1-O-3BR","Open","Site_1","South"
"1-O-7TR","Open","Site_1","South"
"1-O-7BL","Open","Site_1","South"
"1-O-9TL","Open","Site_1","South"
"1-O-9BR","Open","Site_1","South"
