site,date,time,temp,dDO,days,BOD.ug.day
Site 1,8/2/2012,11:45,19.8,-0.47,5.07,-28.74
Site 1,9/1/2012,8:15,17,-0.97,5,-60.14
Site 1,10/8/2012,9:58,19.1,-1.57,5,-97.26
Site 1,11/25/2012,13:44,21.2,-0.65,5.17,-38.99
Site 1,9/13/2013,14:41,21.7,-0.53,4.77,-34.44
Site 1,11/20/2013,16:12,21.5,-0.62,5.72,-33.62
Site 1,1/15/2014,14:14,22.7,-1.77,4.91,-111.79
Site 1,2/15/2014,15:21,24.1,-1.31,4.86,-83.55
Site 2,9/5/2012,13:17,19.1,-1.72,5.14,-103.65
Site 2,10/9/2012,12:49,23,-0.49,5.2,-29.19
Site 2,12/1/2012,10:38,20.4,-2.41,4.98,-150.05
Site 2,9/12/2013,15:33,22.1,-2,5.73,-108.17
Site 2,10/10/2013,17:54,21.8,-1.81,5.02,-111.85
Site 2,11/18/2013,14:41,24.7,-1.5,5.74,-80.96
Site 2,1/13/2014,13:22,26.6,-4.09,5.24,-241.98
Site 3,7/28/2012,9:50,20.3,-2.17,5,-134.45
Site 3,9/19/2012,12:35,21.7,-2.2,5.01,-136.06
Site 3,9/11/2013,15:34,24.9,-1.86,6.73,-85.7
Site 3,10/9/2013,14:40,27.1,-1.83,5.26,-107.8
Site 3,11/16/2013,14:05,20.1,-3.09,6.13,-156.23
