site,site.dist,carcasses,date,Manta.time,discharge,Temp_deg_C,Turb_NTU,Chl_ug.l,HDO_mg.l,HDO_.Sat,SpCond_uS.cm,SpCond_mS.cm,Salinity_PSS,TDS_mg.l,pH_units,pH_mV,Int_Batt_V,BP_mmHg,Sample.Time,DOC.mgL,DOC.Flux.kgd,NO3.ugL,NO3.Flux.kgd,PO4.ugL,PO4.Flux.kgd,NH4.ugL,NH4.Flux.kgd,TDN.mgL,TDP.ugL,TN.mgL,TN.ugL,TN.Flux.kgd,TP.ugL,TP.Flux.kgd,TSS.mgL,TSS.flux.kgd,AFDM.mgL,AFDM.flux.kgd,Org.pct,Chl.ugL,CPOM.mgL,CPOM.flux.kgd
Site 1,0,n,6/4/2011,13:00,8.75,21.23,81.8,2.59,7.2,96.4,141.1,0.141,0.06,90.3,7.58,-29.87,9.03,643,13:00,2.22,1678.32,1120,846.72,16.6,12.5496,,,1.47,50.72,,,,,,83.84,63383.04,12.86,9722.16,0.15,0.7606575,,
Site 1,0,n,6/23/2011,15:00,15.8,,,,,,,,,,,,,,15:00,2.99,4081.7088,940,1283.2128,17.6,24.026112,1.4,1.911168,1.26,37.75,,,,,,194.56,265597.7472,29.94,40871.6928,0.15,2.261175,,
Site 1,0,n,7/8/2011,12:30,17.28,18.84,102.8,2.36,7.63,97.3,68.6,0.068,0.03,43.9,7.23,-8.79,7.71,643,12:30,2.18,3254.72256,860,1283.97312,14.7,21.9469824,9.23,13.78031616,1.09,23.48,,,,,,110.95,165647.4624,18.4,27471.0528,0.17,1.0553625,,
Site 1,0,y,7/17/2011,14:45,15.33,18.82,85.1,2.11,7.71,98.2,69.4,0.069,0.03,44.4,7.37,-16.52,9.12,643,14:45,1.97,2609.28864,740,980.13888,12.3,16.2914976,4.23,5.60268576,0.95,26.99,,,,,,77.88,103152.9946,13.44,17801.44128,0.17,0.88035375,,
Site 1,0,y,8/5/2011,15:45,15.6,19.06,106.5,2.49,7.46,95.5,63.3,0.063,0.03,40.5,7.13,-4.37,8.78,643,15:45,3.39,4569.1776,710,956.9664,9.4,12.669696,1.42,1.9139328,0.92,38.28,,,,,,88.61,119432.1024,15.18,20460.2112,0.17,1.1305875,,
Site 1,0,y,8/26/2011,13:00,25.13,17.23,1051,8.22,7.22,89,113.5,0.113,0.05,72.6,7.24,-10.98,7.2,643,13:00,3.56,7729.58592,910,1975.82112,52.7,114.4239264,,,1.28,43.04,,,,,,1302.43,2827877.694,171.62,372626.8358,0.13,,,
Site 1,0,n,7/7/2012,10:15,21.6,16.3,163.5,1.19,7.87,98,68.4,0.068,0.03,43.8,7.27,-1.77,9.1,625,8:15,2.23,4161.7152,872.76,1628.779622,8.66,16.1616384,,,,,1,1000,1866.24,117.51,219.3018624,146.0866667,272632.7809,22.19,41411.8656,0.15,1.2331,,
Site 1,0,n,7/21/2012,13:00,14.77,17.95,92.4,0.97,7.6,98,89.9,0.089,0.04,57.5,7.24,0.34,7.81,625,13:00,2.45,3126.5136,863.21,1101.566451,10.29,13.13135712,,,,,0.5,500,638.064,80.23,102.3837494,111.7933333,142662.6028,14.81,18899.45568,0.13,1.15463,1.077603194,1375.159608
Site 1,0,n,8/2/2012,12:00,15.21,17.81,148,0.84,7.59,97.6,82.9,0.082,0.04,53,7.23,0.9,7.37,625,12:30,2.15,2825.4096,959.2,1260.526925,8.08,10.61828352,12.62,16.58449728,,,0.98,980,1287.86112,82.3,108.1540512,59.325,77961.5928,10.59,13916.78496,0.18,0.89849625,0.188418423,247.6089407
Site 1,0,y,9/1/2012,8:30,21.06,17.25,217.8,1.32,7.57,96.2,68.2,0.068,0.03,43.6,7.13,5.68,7.27,625,9:00,1.9,3457.2096,1031.75,1877.355792,11.09,20.17918656,13.45,24.4734048,,,1.7,1700,3093.2928,127.86,232.6520102,235.68,428839.5571,36.67,66724.14528,0.16,0,1.745239703,3175.610239
Site 1,0,y,10/8/2012,12:00,9.94,19.46,64.9,0.53,7.23,96.2,92.2,0.092,0.04,59,7.37,-10.36,9.15,625,12:00,1.95,1674.6912,840.06,721.456969,10.16,8.72557056,,,,,0.79,790,678.46464,43.19,37.09226304,45.42,39007.42272,8.62,7402.99392,0.19,0.64015,0.096611768,82.97173181
Site 1,0,y,11/9/2012,18:00,26.67,18.7,195.2,1.27,7.44,97.4,60.5,0.06,0.03,38.7,7.19,-0.49,7.42,625,18:00,2.51,5783.76288,1164.85,2684.149877,15.22,35.07126336,31.64,72.90767232,,,1.71,1710,3940.33248,103.28,237.9868646,183.76,423435.9629,30.67,70672.51296,0.17,1.836375,,
Site 1,0,y,11/25/2012,17:15,7.9,20.52,59.2,0.61,6.97,95.1,94.9,0.094,0.04,60.7,7.36,-12.15,9.1,622,17:30,2.15,1467.504,940.1,641.674656,8.62,5.8836672,15.08,10.2930048,,,1.03,1030,703.0368,62.9,42.933024,81.55,55662.768,13.5,9214.56,0.17,0.5686125,0.074215096,50.65625592
Site 1,0,y,8/15/2013,12:30,19.49,18.4,700.1,2.3,6.99,91.3,107.9,0.107,0.05,69,7.22,4.96,7.57,623,12:45,3.65,6146.3664,722.16,1216.071222,8.68,14.61656448,30.44,51.25901184,,,1.9,1900,3199.4784,261.19,439.8272438,638.7755102,1075657.078,67.35,113413.0896,0.11,6.664591837,0.151014159,254.2981796
Site 1,0,y,8/30/2013,10:00,18.94,16.86,105.8,0.86,7.6,96.1,66.8,0.066,0.03,42.7,7.22,5.04,7.61,623,10:00,2.67,4369.23072,829.08,1356.719777,2.99,4.89288384,40.97,67.04396352,,,1.16,1160,1898.24256,83.92,137.3280307,,,,,,,,
Site 1,0,y,9/13/2013,14:45,16.44,18.44,136,1.04,7.52,98.2,70.5,0.07,0.03,45.1,7.24,4.35,7.03,623,14:45,3.92,5568.03072,745.54,1058.976945,5.56,7.89751296,43.4,61.6460544,,,1.12,1120,1590.86592,81.89,116.3178662,88.33333333,125470.08,19.17,27229.37472,0.22,0.327952128,0.163518735,232.2646272
Site 1,0,y,10/14/2013,12:15,13.05,,,,,,,,,,,,,,12:15,2.12,2390.3424,781.49,881.1456048,0.12,0.1353024,41.96,47.3107392,,,0.94,940,1059.8688,57.03,64.3024656,46.25,52147.8,9.17,10339.3584,0.2,0.4615275,0.092201343,103.958858
Site 1,0,n,11/20/2013,13:45,8.67,20.62,72.4,1.9,7.13,97.3,167.5,0.167,0.08,107.2,6.82,14.99,9.17,624,12:00,2.43,1820.28384,810.08,606.821207,3.27,2.44951776,59.15,44.3085552,,,0.84,840,629.23392,70.4,52.7357952,77.22222222,57846.24,13.33,9985.34304,0.17,1.002832861,0.096691668,72.43056814
Site 1,0,n,11/28/2013,9:30,7.11,18.91,56.6,1.9,7.12,93.8,187.9,0.187,0.09,120.2,6.66,24.35,8.39,624,9:30,2.59,1591.04736,741.98,455.8012819,1.76,1.08117504,21.73,13.34882592,,,0.92,920,565.15968,65.91,40.48877664,29.41176471,18067.76471,5.88,3612.10752,0.2,0.414722628,0.070248642,43.15402185
Site 1,0,n,1/15/2014,11:00,5.71,21.28,53,2.32,6.66,92.1,281.8,0.281,0.13,180.4,7.08,-1.6,8.32,624,11:00,2.65,1307.3616,863.74,426.1209466,6.49,3.20180256,81.75,40.330872,,,1.48,1480,730.14912,95.17,46.95154848,27,13320.288,2.5,1233.36,0.09,0.78796988,0.019797588,9.767021242
Site 1,0,n,2/15/2014,15:15,4.77,23.35,273.6,5.99,6.56,94.6,592.7,0.592,0.28,379.3,7.71,-1.69,9.05,624,14:30,3.19,1314.68832,1016.02,418.7302906,25.26,10.41035328,64.65,26.6440752,,,1.65,1650,680.0112,142.25,58.625208,134.4262295,55400.81311,19.67,8106.55776,0.15,1.005633929,0.006530928,2.691578479
Site 1,0,n,2/25/2014,16:45,,23.75,245.5,5.4,6.29,91.3,506.4,0.506,0.24,324.1,7.58,5.56,8.32,624,16:45,3.17,,841.32,,11.88,,383.21,,,,1.6,1600,,158.96,,154,,20,,0.13,1.36585,0.000621993,
