A,B,pop.cross,pop.nest,y
A,B,pop1,pop1,-0.626453810742332
A,B,pop1,pop1,0.183643324222082
A,B,pop1,pop1,-0.835628612410047
A,B,pop2,pop2,1.59528080213779
A,B,pop2,pop2,0.329507771815361
A,B,pop2,pop2,-0.820468384118015
A,B,pop3,pop3,0.487429052428485
A,B,pop3,pop3,0.738324705129217
A,B,pop3,pop3,0.575781351653492
A,B,pop4,pop4,-0.305388387156356
A,B,pop4,pop4,1.51178116845085
A,B,pop4,pop4,0.389843236411431
A,B,pop5,pop5,-0.621240580541804
A,B,pop5,pop5,-2.2146998871775
A,B,pop5,pop5,1.12493091814311
A,b,pop1,pop6,0.955066390984769
A,b,pop1,pop6,0.983809736901054
A,b,pop1,pop6,1.9438362106853
A,b,pop2,pop7,1.82122119509809
A,b,pop2,pop7,1.59390132121751
A,b,pop2,pop7,1.91897737160822
A,b,pop3,pop8,1.78213630073107
A,b,pop3,pop8,1.07456498336519
A,b,pop3,pop8,-0.989351695863373
A,b,pop4,pop9,1.61982574789471
A,b,pop4,pop9,0.943871260470999
A,b,pop4,pop9,0.844204493294671
A,b,pop5,pop10,-0.470752383899274
A,b,pop5,pop10,0.52184994489138
A,b,pop5,pop10,1.4179415601997
a,B,pop1,pop1,1.35867955152904
a,B,pop1,pop1,-0.102787727342996
a,B,pop1,pop1,0.387671611559369
a,B,pop2,pop2,-0.0538050405829051
a,B,pop2,pop2,-1.37705955682861
a,B,pop2,pop2,-0.41499456329968
a,B,pop3,pop3,-0.394289953710349
a,B,pop3,pop3,-0.0593133967111857
a,B,pop3,pop3,1.10002537198388
a,B,pop4,pop4,0.763175748457544
a,B,pop4,pop4,-0.164523596253587
a,B,pop4,pop4,-0.253361680136508
a,B,pop5,pop5,0.696963375404737
a,B,pop5,pop5,0.556663198673657
a,B,pop5,pop5,-0.68875569454952
a,b,pop1,pop6,0.29250484303788
a,b,pop1,pop6,1.36458196213683
a,b,pop1,pop6,1.76853292451542
a,b,pop2,pop7,0.887653787849772
a,b,pop2,pop7,1.88110772645421
a,b,pop2,pop7,1.39810588036707
a,b,pop3,pop8,0.387973606749229
a,b,pop3,pop8,1.34111969142442
a,b,pop3,pop8,-0.129363096080793
a,b,pop4,pop9,2.43302370170104
a,b,pop4,pop9,2.98039989850586
a,b,pop4,pop9,0.632778523533491
a,b,pop5,pop10,-0.0441346263165308
a,b,pop5,pop10,1.56971962744241
a,b,pop5,pop10,0.864945396119176
